Customer ID,Gender,Age,SeniorCitizen,Partner,Dependents,Tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Contract,Churn
6467-CHFZW,Male,29,0,Yes,Yes,47,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Electronic check,99.35,4749.15,Month-to-month,Yes
8665-UTDHZ,Male,30,0,Yes,Yes,1,No,No ,DSL,No,Yes,No,No,No,No,No,Electronic check,30.2,30.2,Month-to-month,Yes
5248-YGIJN,Male,31,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),90.25,6369.45,Two year,No
8773-HHUOZ,Female,32,0,No,Yes,17,Yes,No,DSL,No,No,No,No,Yes,Yes,Yes,Mailed check,64.7,1093.1,Month-to-month,Yes
3841-NFECX,Female,20,1,Yes,No,71,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Yes,Credit card (automatic),96.35,6766.95,Two year,No
4929-XIHVW,Male,21,1,Yes,No,2,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),95.5,181.65,Month-to-month,No
6827-IEAUQ,Female,22,0,Yes,Yes,27,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,No,Mailed check,66.15,1874.45,One year,No
7310-EGVHZ,Male,23,0,No,No,1,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Bank transfer (automatic),20.2,20.2,Month-to-month,No
3413-BMNZE,Male,24,1,No,No,1,Yes,No,DSL,No,No,No,No,No,No,No,Bank transfer (automatic),45.25,45.25,Month-to-month,No
6234-RAAPL,Female,25,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,No,Bank transfer (automatic),99.9,7251.7,Two year,No
6047-YHPVI,Male,26,0,No,No,5,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.7,316.9,Month-to-month,Yes
6572-ADKRS,Female,27,0,No,No,46,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Credit card (automatic),74.8,3548.3,Month-to-month,No
5380-WJKOV,Male,28,0,No,No,34,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Electronic check,106.35,3549.25,Month-to-month,Yes
8168-UQWWF,Female,29,0,No,No,11,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),97.85,1105.4,Month-to-month,Yes
8865-TNMNX,Male,30,0,Yes,Yes,10,Yes,No,DSL,No,Yes,No,No,No,No,No,Mailed check,49.55,475.7,One year,No
9489-DEDVP,Female,31,0,Yes,Yes,70,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Yes,Credit card (automatic),69.2,4872.35,Two year,No
9867-JCZSP,Female,32,0,Yes,Yes,17,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,20.75,418.25,One year,No
4671-VJLCL,Female,33,0,No,No,63,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Yes,Credit card (automatic),79.85,4861.45,Two year,No
4080-IIARD,Female,34,0,Yes,No,13,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Yes,Electronic check,76.2,981.45,Month-to-month,No
3714-NTNFO,Female,35,0,No,No,49,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,84.5,3906.7,Month-to-month,No
5948-UJZLF,Male,36,0,No,No,2,Yes,No,DSL,No,Yes,No,No,No,No,No,Mailed check,49.25,97,Month-to-month,No
7760-OYPDY,Female,37,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,80.65,144.15,Month-to-month,Yes
7639-LIAYI,Male,38,0,No,No,52,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Yes,Credit card (automatic),79.75,4217.8,Two year,No
2954-PIBKO,Female,39,0,Yes,Yes,69,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Yes,Credit card (automatic),64.15,4254.1,Two year,No
8012-SOUDQ,Female,20,1,No,No,43,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Electronic check,90.25,3838.75,Month-to-month,No
9420-LOJKX,Female,21,0,No,No,15,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),99.1,1426.4,Month-to-month,Yes
6575-SUVOI,Female,22,1,Yes,No,25,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Yes,Credit card (automatic),69.5,1752.65,Month-to-month,No
7495-OOKFY,Female,23,1,Yes,No,8,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Credit card (automatic),80.65,633.3,Month-to-month,Yes
4667-QONEA,Female,24,1,Yes,Yes,60,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,Yes,Credit card (automatic),74.85,4456.35,One year,No
1658-BYGOY,Male,25,1,No,No,18,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Yes,Electronic check,95.45,1752.55,Month-to-month,Yes
8769-KKTPH,Female,26,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Credit card (automatic),99.65,6311.2,One year,No
5067-XJQFU,Male,27,1,Yes,Yes,66,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Electronic check,108.45,7076.35,One year,No
3957-SQXML,Female,28,0,Yes,Yes,34,Yes,Yes,No,No,No,No,No,No,No,No,Credit card (automatic),24.95,894.3,Two year,No
5954-BDFSG,Female,29,0,No,No,72,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),107.5,7853.7,Two year,No
0434-CSFON,Female,30,0,Yes,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Electronic check,100.5,4707.1,Month-to-month,No
1215-FIGMP,Male,31,0,No,No,60,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Yes,Bank transfer (automatic),89.9,5450.7,Month-to-month,No
0526-SXDJP,Male,32,0,Yes,No,72,No,No,DSL,Yes,Yes,Yes,No,No,No,No,Bank transfer (automatic),42.1,2962,Two year,No
0557-ASKVU,Female,33,0,Yes,Yes,18,Yes,No,DSL,No,No,Yes,Yes,No,No,Yes,Credit card (automatic),54.4,957.1,One year,No
5698-BQJOH,Female,34,0,No,No,9,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Electronic check,94.4,857.25,Month-to-month,Yes
5122-CYFXA,Female,35,0,No,No,3,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,75.3,244.1,Month-to-month,No
8627-ZYGSZ,Male,20,0,Yes,No,47,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Yes,Electronic check,78.9,3650.35,One year,No
3410-YOQBQ,Female,21,0,No,No,31,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,No,Mailed check,79.2,2497.2,Two year,No
3170-NMYVV,Female,22,0,Yes,Yes,50,Yes,No,No,No,No,No,No,No,No,No,Bank transfer (automatic),20.15,930.9,Two year,No
7410-OIEDU,Male,23,0,No,No,10,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Yes,Mailed check,79.85,887.35,Month-to-month,No
2273-QCKXA,Male,24,0,No,No,1,Yes,No,DSL,No,No,No,Yes,No,No,No,Mailed check,49.05,49.05,Month-to-month,No
0731-EBJQB,Female,25,0,Yes,Yes,52,Yes,No,No,No,No,No,No,No,No,Yes,Electronic check,20.4,1090.65,One year,No
1891-QRQSA,Male,26,1,Yes,Yes,64,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),111.6,7099,Two year,No
8028-PNXHQ,Male,27,0,Yes,Yes,62,Yes,Yes,No,No,No,No,No,No,No,Yes,Bank transfer (automatic),24.25,1424.6,Two year,No
5630-AHZIL,Female,28,0,No,Yes,3,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Yes,Bank transfer (automatic),64.5,177.4,Month-to-month,No
2673-CXQEU,Female,29,1,No,No,56,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,No,Electronic check,110.5,6139.5,One year,No
6416-JNVRK,Female,30,0,No,No,46,Yes,No,DSL,No,No,No,No,No,Yes,No,Credit card (automatic),55.65,2688.85,One year,No
5590-ZSKRV,Female,31,0,Yes,Yes,8,Yes,No,DSL,Yes,Yes,No,No,No,No,No,Mailed check,54.65,482.25,Month-to-month,No
0191-ZHSKZ,Male,32,1,No,No,30,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,74.75,2111.3,Month-to-month,No
3887-PBQAO,Female,33,0,Yes,Yes,45,Yes,Yes,No,No ,No ,No ,No ,No ,No ,Yes,Credit card (automatic),25.9,1216.6,One year,No
5919-TMRGD,Female,34,0,No,Yes,1,Yes,No,Fiber optic,No,No,No,No,Yes,No,Yes,Electronic check,79.35,79.35,Month-to-month,Yes
8108-UXRQN,Female,35,0,Yes,Yes,11,No,No,DSL,Yes,No,No,No,Yes,Yes,No,Electronic check,50.55,565.35,Month-to-month,No
9191-MYQKX,Female,36,0,Yes,No,7,Yes,No,Fiber optic,No,No,Yes,No,No,No,Yes,Bank transfer (automatic),75.15,496.9,Month-to-month,Yes
9919-YLNNG,Female,20,0,No,No,42,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),103.8,4327.5,Month-to-month,No
0318-ZOPWS,Female,22,0,Yes,No,49,Yes,No,No,No ,No ,No ,No ,No ,No ,Yes,Bank transfer (automatic),20.15,973.35,Two year,No
4445-ZJNMU,Male,23,0,No,No,9,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Credit card (automatic),99.3,918.75,Month-to-month,No
4808-YNLEU,Female,24,0,Yes,No,35,Yes,No,DSL,Yes,No,No,No,Yes,No,Yes,Bank transfer (automatic),62.15,2215.45,One year,No
1862-QRWPE,Female,25,0,Yes,Yes,48,Yes,No,No,No,No,No,No,No,No,No,Bank transfer (automatic),20.65,1057,Two year,No
2796-NNUFI,Female,26,0,Yes,Yes,46,Yes,No,No,No ,No ,No ,No ,No ,No ,Yes,Mailed check,19.95,927.1,Two year,No
3016-KSVCP,Male,27,0,Yes,No,29,No,No,DSL,No,No,No,No,Yes,No,No,Mailed check,33.75,1009.25,Month-to-month,No
4767-HZZHQ,Male,28,0,Yes,Yes,30,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,No,Bank transfer (automatic),82.05,2570.2,Month-to-month,No
2424-WVHPL,Male,29,1,No,No,1,Yes,No,Fiber optic,No,No,No,Yes,No,No,No,Electronic check,74.7,74.7,Month-to-month,No
7233-PAHHL,Male,30,0,Yes,Yes,66,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Yes,Mailed check,84.0,5714.25,Two year,No
6067-NGCEU,Female,31,0,No,No,65,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),111.05,7107,Month-to-month,No
9848-JQJTX,Male,32,0,No,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Yes,Bank transfer (automatic),100.9,7459.05,Two year,No
8637-XJIVR,Female,33,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Yes,Electronic check,78.95,927.35,Month-to-month,Yes
9803-FTJCG,Male,34,0,Yes,Yes,71,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,Yes,Credit card (automatic),66.85,4748.7,One year,No
0278-YXOOG,Male,35,0,No,No,5,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,21.05,113.85,Month-to-month,Yes
3212-KXOCR,Male,36,0,No,No,52,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Bank transfer (automatic),21.0,1107.2,Two year,No
4598-XLKNJ,Female,37,1,Yes,No,25,Yes,No,Fiber optic,No ,Yes,Yes,No,Yes,Yes,Yes,Electronic check,98.5,2514.5,Month-to-month,Yes
6380-ARCEH,Male,38,0,No,No,1,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,20.2,20.2,Month-to-month,No
3679-XASPY,Female,20,0,Yes,Yes,1,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Electronic check,19.45,19.45,Month-to-month,No
7123-WQUHX,Male,21,0,No,No,38,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,No,Bank transfer (automatic),95.0,3605.6,One year,No
5386-THSLQ,Female,22,1,Yes,No,66,No,No ,DSL,No,Yes,Yes,No,Yes,No,No,Bank transfer (automatic),45.55,3027.25,One year,No
3192-NQECA,Male,23,0,Yes,No,68,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),110.0,7611.85,Two year,Yes
6180-YBIQI,Male,24,0,No,No,5,No,No ,DSL,No,No,No,No,No,No,No,Mailed check,24.3,100.2,Month-to-month,No
6728-DKUCO,Female,25,0,Yes,Yes,72,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,104.15,7303.05,One year,No
9750-BOOHV,Female,26,0,No,No,32,No,No ,DSL,Yes,No,No,No,No,No,No,Mailed check,30.15,927.65,One year,No
8597-CWYHH,Male,27,0,No,No,43,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Mailed check,94.35,3921.3,One year,No
2848-YXSMW,Male,28,0,Yes,Yes,72,Yes,No,No,No,No,No,No,No,No,No,Credit card (automatic),19.4,1363.25,Two year,No
0486-HECZI,Male,29,0,Yes,No,55,Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,Yes,Electronic check,96.75,5238.9,Month-to-month,Yes
4549-ZDQYY,Female,30,0,No,No,52,Yes,No,DSL,Yes,No,Yes,Yes,No,No,No,Credit card (automatic),57.95,3042.25,One year,No
5712-AHQNN,Female,31,0,No,No,43,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Yes,Electronic check,91.65,3954.1,Month-to-month,No
4846-WHAFZ,Female,32,1,Yes,No,37,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,76.5,2868.15,Month-to-month,Yes
5256-SKJGO,Female,33,0,Yes,Yes,64,No,No ,DSL,No,Yes,No,Yes,Yes,Yes,Yes,Electronic check,54.6,3423.5,Two year,No
3071-VBYPO,Male,34,0,Yes,Yes,3,Yes,No ,Fiber optic,Yes,Yes,No,No,Yes,No,No,Electronic check,89.85,248.4,Month-to-month,No
9560-BBZXK,Female,35,0,No,No,36,No,No ,DSL,Yes,No,No,No,No,No,No,Bank transfer (automatic),31.05,1126.35,Two year,No
5299-RULOA,Female,36,0,Yes,Yes,10,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,Yes,Electronic check,100.25,1064.65,Month-to-month,Yes
8402-OOOHJ,Female,37,0,No,No,41,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,20.65,835.15,Two year,No
9445-ZUEQE,Male,38,0,Yes,Yes,27,Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,Yes,Credit card (automatic),85.2,2151.6,Month-to-month,No
1091-SOZGA,Female,39,0,Yes,Yes,56,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Yes,Credit card (automatic),99.8,5515.45,One year,No
2928-HLDBA,Female,40,0,No,No,6,Yes,No,No,No,No,No,No,No,No,No,Mailed check,20.7,112.75,Month-to-month,No
0404-SWRVG,Male,20,0,No,No,3,Yes,Yes,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,74.4,229.55,Month-to-month,Yes
6497-TILVL,Female,21,0,Yes,Yes,7,Yes,No,DSL,Yes,No,No,No,No,No,No,Mailed check,50.7,350.35,Month-to-month,No
7219-TLZHO,Female,22,0,Yes,Yes,4,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,20.85,62.9,Month-to-month,No
4622-YNKIJ,Male,23,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,Yes,Electronic check,88.95,3027.65,Two year,No
4412-YLTKF,Female,24,1,No,No,27,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Yes,Electronic check,78.05,2135.5,Month-to-month,Yes
6734-PSBAW,Male,25,0,Yes,No,72,Yes,Yes,No,No,No,No,No,No,No,Yes,Bank transfer (automatic),23.55,1723.95,Two year,No
3930-ZGWVE,Male,26,0,No,No,1,Yes,No,No,No,No,No,No,No,No,No,Mailed check,19.75,19.75,Month-to-month,No
2639-UGMAZ,Male,27,1,No,No,71,No,No,DSL,Yes,Yes,No,No,Yes,Yes,Yes,Electronic check,56.45,3985.35,One year,No
2876-GZYZC,Female,28,0,No,No,13,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Yes,Electronic check,85.95,1215.65,Month-to-month,No
6207-WIOLX,Female,29,0,Yes,Yes,25,No,No ,DSL,Yes,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),58.6,1502.65,Month-to-month,Yes
8587-XYZSF,Male,30,0,No,No,67,Yes,No ,DSL,No,No,No,Yes,No,No,No,Bank transfer (automatic),50.55,3260.1,Two year,No
3091-FYHKI,Male,31,0,No,No,1,No,No ,DSL,No,No,No,No,No,Yes,Yes,Electronic check,35.45,35.45,Month-to-month,Yes
2372-HWUHI,Male,32,0,No,No,2,Yes,No,DSL,No,No,No,No,No,No,No,Electronic check,44.35,81.25,Month-to-month,Yes
7799-LGRDP,Female,33,0,No,No,43,Yes,Yes,No,No,No,No,No,No,No,Yes,Credit card (automatic),25.7,1188.2,Two year,No
7850-VWJUU,Female,34,0,No,No,23,Yes,No,Fiber optic,Yes,No,No,No,No,No,Yes,Bank transfer (automatic),75.0,1778.5,Month-to-month,No
3774-VBNXY,Female,35,0,Yes,Yes,64,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,20.2,1277.75,Two year,No
6217-KDYWC,Male,36,0,No,Yes,57,Yes,No,No,No ,No ,No ,No ,No ,No ,Yes,Mailed check,19.6,1170.55,Two year,No
0390-DCFDQ,Female,20,1,Yes,No,1,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Mailed check,70.45,70.45,Month-to-month,Yes
3146-MSEGF,Female,21,1,Yes,Yes,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Credit card (automatic),88.05,6425.65,Two year,No
4080-OGPJL,Female,22,0,No,No,8,Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,No,Electronic check,71.15,563.65,Month-to-month,Yes
1095-WGNGG,Female,23,0,Yes,No,61,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Yes,Bank transfer (automatic),101.05,5971.25,Two year,No
2636-SJDOU,Male,24,0,No,No,64,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Yes,Credit card (automatic),84.3,5289.05,One year,No
1131-QQZEB,Male,25,1,Yes,No,71,Yes,Yes,No,No ,No ,No ,No ,No ,No ,No,Bank transfer (automatic),23.95,1756.2,Two year,No
5716-EZXZN,Female,26,0,Yes,Yes,65,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Yes,Credit card (automatic),99.05,6416.7,Two year,No
6837-BJYDQ,Male,27,0,No,No,3,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,19.6,61.35,One year,No
2135-RXIHG,Male,28,0,No,No,1,Yes,No,DSL,No,No,No,No,No,No,Yes,Electronic check,45.65,45.65,Month-to-month,Yes
6440-DKQGE,Male,29,0,No,Yes,30,Yes,No,DSL,No,Yes,Yes,No,Yes,No,No,Credit card (automatic),64.5,1929.95,One year,No
3466-BYAVD,Male,30,0,Yes,Yes,15,Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Mailed check,69.5,1071.4,Month-to-month,No
3780-YVMFA,Female,31,0,Yes,Yes,8,Yes,No,DSL,No,No,No,Yes,Yes,Yes,Yes,Electronic check,68.55,564.35,Month-to-month,No
3874-EQOEP,Male,32,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,No,Mailed check,95.0,655.5,Month-to-month,Yes
1679-JRFBR,Female,33,0,Yes,Yes,70,Yes,Yes,Fiber optic,Yesz,Yes,Yes,No,Yes,Yes,Yes,Credit card (automatic),108.15,7930.55,One year,No
9073-ZZIAY,Male,34,0,Yes,Yes,62,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,No,Electronic check,86.1,5215.25,Two year,No
3077-RSNTJ,Female,35,0,Yes,Yes,6,Yes,No,No,No ,No ,No ,No ,No ,No ,No,Mailed check,19.7,113.5,Month-to-month,No
6551-GNYDG,Female,22,0,Yes,Yes,14,Yes,No,Fiber optic,No,No,No,No,No,Yes,Yes,Bank transfer (automatic),80.9,1152.8,Month-to-month,No
9167-APMXZ,Female,22,0,No,No,22,Yes,Yes,Fiber optic,No,No,No,No,Yes,No,Yes,Bank transfer (automatic),84.15,1821.95,Month-to-month,No
2749-CTKAJ,Male,22,0,Yes,Yes,22,Yes,No,No,No,No,No,No,No,No,No,Mailed check,20.15,419.9,One year,No
6371-NZYEG,Male,22,0,Yes,Yes,16,Yes,No,DSL,Yes,No,Yes,No,Yes,No,No,Mailed check,64.25,1024,Two year,No
7554-NEWDD,Male,23,0,No,No,10,Yes,Yes,No,No ,No ,No ,No ,No ,No ,No,Bank transfer (automatic),25.7,251.6,Two year,No
8992-VONJD,Female,23,0,No,Yes,13,Yes,No,DSL,No,Yes,No,No,No,No,Yes,Electronic check,56.0,764.55,Month-to-month,No
0867-MKZVY,Female,23,0,Yes,No,20,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,No,Electronic check,82.4,1592.35,Month-to-month,Yes
4482-EWFMI,Female,23,0,No,No,2,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Electronic check,69.7,135.2,Month-to-month,No
4648-YPBTM,Male,23,0,No,No,53,Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,Yes,Bank transfer (automatic),73.9,3958.25,Two year,No
2907-ILJBN,Female,24,0,Yes,Yes,11,Yes,No,No,No,No,No,No,No,No,No,Mailed check,20.6,233.9,One year,No
6345-FZOQH,Male,24,0,Yes,No,69,Yes,No,No,No,No,No,No,No,No,No,Mailed check,19.9,1363.45,Two year,No
3376-BMGFE,Female,24,0,No,No,4,Yes,No,Fiber optic,No,No,No,No,No,No,Yes,Bank transfer (automatic),70.9,273,Month-to-month,Yes
5997-OPVFA,Male,24,0,Yes,No,72,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Bank transfer (automatic),89.05,6254.45,Two year,No
3445-HXXGF,Male,24,1,Yes,No,58,No,No ,DSL,No,Yes,Yes,No,No,Yes,Yes,Electronic check,45.3,2651.2,Month-to-month,Yes
1159-WFSGR,Female,24,0,Yes,Yes,16,Yes,No,No,No,No,No,No,No,No,No,Electronic check,20.4,321.4,Month-to-month,No
7654-YWJUF,Male,34,0,Yes,No,43,Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,Yes,Bank transfer (automatic),84.25,3539.25,One year,No
1875-QIVME,Female,34,0,Yes,No,2,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Yes,Electronic check,104.4,242.8,Month-to-month,Yes
