SeniorCitizen,Partner,Dependents,Tenure,Customer ID
0,No,No,2,2372-HWUHI
0,No,No,43,7799-LGRDP
0,No,No,23,7850-VWJUU
0,Yes,Yes,64,3774-VBNXY
0,No,Yes,57,6217-KDYWC
1,Yes,No,1,0390-DCFDQ
1,Yes,Yes,72,3146-MSEGF
0,No,No,8,4080-OGPJL
0,Yes,No,61,1095-WGNGG
0,No,No,64,2636-SJDOU
1,Yes,No,71,1131-QQZEB
0,Yes,Yes,65,5716-EZXZN
0,No,No,3,6837-BJYDQ
0,No,No,1,2135-RXIHG
0,No,Yes,30,6440-DKQGE
0,Yes,Yes,15,3466-BYAVD
0,Yes,Yes,8,3780-YVMFA
0,No,No,7,3874-EQOEP
0,Yes,Yes,70,1679-JRFBR
0,Yes,Yes,62,9073-ZZIAY
0,Yes,Yes,6,3077-RSNTJ
0,Yes,Yes,14,6551-GNYDG
0,No,No,22,9167-APMXZ
0,Yes,Yes,22,2749-CTKAJ
0,Yes,Yes,16,6371-NZYEG
0,No,No,10,7554-NEWDD
0,No,Yes,13,8992-VONJD
0,Yes,No,20,0867-MKZVY
0,No,No,2,4482-EWFMI
0,No,No,53,4648-YPBTM
0,Yes,Yes,11,2907-ILJBN
0,Yes,No,69,6345-FZOQH
0,No,No,4,3376-BMGFE
0,Yes,No,72,5997-OPVFA
1,Yes,No,58,3445-HXXGF
0,Yes,Yes,16,1159-WFSGR
0,Yes,No,43,7654-YWJUF
0,Yes,No,2,1875-QIVME
0,Yes,No,14,6727-IOTLZ
0,Yes,No,53,0691-JVSYA
0,No,No,32,5918-VUKWP
0,Yes,No,34,1744-JHKYS
1,No,No,15,2656-FMOKZ
1,No,No,7,2070-FNEXE
0,Yes,Yes,15,5947-SGKCL
0,Yes,No,61,3712-PKXZA
0,No,No,1,6317-YPKDH
0,No,No,1,6582-OIVSP
0,No,No,8,9367-WXLCH
0,Yes,Yes,33,5524-KHNJP
0,No,No,13,1918-ZBFQJ
0,Yes,No,1,1024-GUALD
0,No,No,20,4827-USJHP
0,No,No,3,8167-GJLRN
0,No,No,13,0956-SYCWG
0,Yes,No,40,8017-UVSZU
0,Yes,Yes,43,7100-FQPRV
0,Yes,No,6,2472-OVKUP
0,Yes,Yes,69,2984-RGEYA
0,Yes,Yes,72,9680-NIAUV
0,Yes,Yes,59,2146-EGVDT
0,Yes,No,20,2604-IJPDU
0,Yes,Yes,24,9178-JHUVJ
0,No,No,59,6168-YBYNP
0,Yes,Yes,72,7255-SSFBC
0,No,Yes,1,3645-DEYGF
0,Yes,No,27,9323-HGFWY
0,No,No,14,8544-GOQSH
0,Yes,Yes,71,3363-DTIVD
0,No,Yes,13,7018-WBJNK
0,No,No,44,9142-KZXOP
0,No,No,33,7674-YTAFD
0,Yes,Yes,72,6348-SNFUS
0,No,No,1,1285-OKIPP
0,No,No,19,7825-ECJRF
0,Yes,No,64,1347-KTTTA
0,No,No,2,7841-TZDMQ
0,No,No,1,4195-NZGTA
0,No,Yes,61,7157-SMCFK
0,Yes,Yes,29,4709-LKHYG
1,Yes,No,23,2504-DSHIH
0,Yes,No,57,0699-NDKJM
0,Yes,Yes,72,9286-BHDQG
0,Yes,No,66,0230-WEQUW
0,Yes,Yes,65,2040-LDIWQ
0,No,No,8,6496-JDSSB
0,No,No,4,9408-SSNVZ
0,Yes,No,71,4443-EMBNA
0,Yes,Yes,1,6469-MRVET
0,Yes,No,4,0742-MOABM
0,No,No,12,5961-VUSRV
0,No,No,24,6778-JFCMK
0,Yes,Yes,31,6341-JVQGF
0,Yes,No,1,2232-DMLXU
0,No,No,30,4811-JBUVU
0,Yes,Yes,47,0945-TSONX
0,No,No,54,2651-ZCBXV
0,No,No,50,3316-UWXUY
0,No,No,1,8937-RDTHP
0,No,No,72,7083-MIOPC
0,No,No,29,1984-GPTEH
0,No,No,2,1251-KRREG
0,No,No,10,0621-JFHOL
0,Yes,No,18,9903-LYSAB
1,No,No,11,0094-OIFMO
0,No,No,16,9227-UAQFT
0,No,No,72,7301-ABVAD
0,No,No,72,6614-FHDBO
0,Yes,Yes,41,7576-ASEJU
1,Yes,No,65,9058-HRZSV
1,No,No,13,4522-AKYLR
1,No,No,4,0221-WMXNQ
0,No,No,41,0303-UNCIP
1,No,No,15,9947-OTFQU
0,No,No,1,0322-YINQP
0,No,No,42,0959-WHOKV
0,Yes,No,51,4075-JFPGR
0,Yes,Yes,2,4629-NRXKX
1,Yes,No,1,9514-JDSKI
0,No,Yes,32,3282-ZISZV
0,No,No,10,3675-YDUPJ
0,Yes,Yes,67,4111-BNXIF
0,Yes,Yes,61,7017-VFHAY
0,No,No,50,6655-LHBYW
0,Yes,No,2,4959-JOSRX
1,Yes,No,29,5046-NUHWD
1,No,No,3,7273-TEFQD
1,No,No,13,3606-TWKGI
1,Yes,No,57,7529-ZDFXI
0,No,No,31,7605-BDWDC
0,Yes,No,45,1950-KSVVJ
0,Yes,Yes,61,0123-CRBRT
0,No,No,50,6292-TOSSS
1,No,No,19,3197-ARFOY
0,No,No,59,6323-AYBRX
0,Yes,No,71,7014-ZZXAW
1,No,No,16,4385-GZQXV
0,Yes,No,57,7633-MVPUY
0,No,No,1,6366-ZGQGL
1,Yes,No,20,4716-HHKQH
0,No,No,1,5940-AHUHD
0,Yes,No,5,6432-TWQLB
0,Yes,No,52,4484-GLZOU
1,Yes,No,21,3179-GBRWV
0,No,No,14,8645-KWHJO
0,No,No,5,4130-MZLCC
0,No,No,6,0314-TKOSI
0,No,No,10,8229-MYEJZ
0,No,Yes,1,2080-SRCDE
0,No,No,68,9577-WJVCQ
0,Yes,Yes,18,9512-UIBFX
0,No,No,22,6202-DYYFX
0,No,No,20,3808-HFKDE
0,Yes,No,1,5583-SXDAG
1,No,No,8,3488-PGMQJ
0,No,No,10,3580-REOAC
1,No,No,24,7534-BFESC
0,No,No,35,3727-OWVYD
0,Yes,Yes,23,2294-SALNE
1,No,No,6,4847-TAJYI
0,No,No,12,1563-IWQEX
0,No,No,1,8203-XJZRC
0,Yes,Yes,71,6556-DBKZF
1,Yes,No,35,6851-WEFYX
0,Yes,Yes,40,2985-JUUBZ
0,No,Yes,1,6390-DSAZX
0,No,No,23,0895-LMRSF
1,No,No,4,8098-LLAZX
0,No,No,4,8266-VBFQL
0,Yes,Yes,68,8181-YHCMF
0,No,Yes,38,2240-HSJQD
0,Yes,Yes,52,1248-DYXUB
1,Yes,No,32,0265-EDXBD
0,Yes,Yes,29,4115-BNPJY
1,Yes,Yes,38,3167-SNQPL
0,No,Yes,48,4091-TVOCN
0,No,No,1,1098-TDVUQ
0,No,No,22,7277-OZCGZ
0,No,No,43,1557-EMYVT
1,Yes,No,5,2799-ARNLO
0,No,No,5,7563-BIUPC
0,Yes,Yes,51,5027-YOCXN
0,No,No,71,3973-SKMLN
0,Yes,Yes,38,2321-OMBXY
1,Yes,No,24,2840-XANRC
0,Yes,No,35,6745-JEFZB
1,No,No,54,5020-ZSTTY
0,Yes,Yes,72,9880-TDQAC
0,No,No,1,8705-WZCYL
0,Yes,Yes,9,7102-JJVTX
0,No,No,69,8626-PTQGE
0,Yes,No,52,4983-CLMLV
1,Yes,No,11,5701-YVSVF
1,No,No,2,5804-LEPIM
1,Yes,Yes,28,5697-GOMBF
1,No,No,17,2739-CACDQ
0,Yes,Yes,35,9385-EHGDO
0,No,No,8,9498-FIMXL
0,No,No,46,2379-GYFLQ
0,No,No,7,0122-OAHPZ
0,No,No,2,2868-SNELZ
0,Yes,Yes,68,4322-RCYMT
0,No,No,43,6680-NENYN
0,No,No,68,2088-IEBAU
0,No,No,36,7982-VCELR
0,Yes,No,63,1343-EHPYB
1,No,No,32,6035-BXTTY
0,Yes,No,71,6885-PKOAM
0,Yes,Yes,66,7520-HQWJU
0,No,No,63,9639-BUJXT
0,No,Yes,41,5924-SNGKP
1,No,No,1,0021-IKXGC
0,No,No,2,2034-GDRCN
0,Yes,No,70,8966-SNIZF
0,No,No,23,6243-OZGFH
1,Yes,No,64,4654-DLAMQ
0,Yes,Yes,37,0513-RBGPE
0,No,Yes,17,5160-UXJED
1,No,No,7,4115-NZRKS
0,Yes,Yes,4,0219-YTZUE
1,No,No,21,0623-IIHUG
0,No,No,10,4572-DVCGN
1,No,No,16,3351-NGXYI
0,Yes,No,64,8984-EYLLL
1,Yes,No,27,9057-MSWCO
0,Yes,Yes,42,9833-TGFHX
0,No,Yes,5,9294-TDIPC
0,No,No,41,5229-DTFYB
0,Yes,No,58,0104-PPXDV
0,No,No,47,5176-LMJXE
0,No,No,18,3583-KRKMD
0,No,No,5,1010-DIAUQ
0,Yes,No,23,9069-LGEUL
0,No,No,1,7302-ZHMHP
0,Yes,No,71,9571-EDEBV
0,Yes,Yes,72,3520-FJGCV
0,Yes,Yes,33,6563-VRERX
0,No,No,2,0259-GBZSH
0,No,Yes,24,6122-EFVKN
0,Yes,Yes,56,2805-EDJPQ
0,No,No,37,6862-CQUMB
0,No,No,43,7156-MXBJE
0,No,No,1,6158-HDPXZ
0,Yes,No,25,9601-BRXPO
0,No,No,61,2863-IMQDR
0,No,No,17,5686-CMAWK
0,Yes,No,41,5651-CRHKQ
0,No,No,1,6905-NIQIN
1,Yes,Yes,72,8204-YJCLA
0,No,No,1,5167-ZFFMM
0,No,No,48,6583-SZVGP
1,Yes,No,11,4895-TMWIR
1,Yes,No,55,0533-BNWKF
0,No,No,42,1708-PBBOA
0,No,No,44,8782-LKFPK
0,No,Yes,1,5522-JBWMO
0,No,No,27,3597-MVHJT
1,Yes,No,27,9774-NRNAU
1,No,No,2,0224-RLWWD
0,No,No,19,9967-ATRFS
1,Yes,No,42,3951-NJCVI
0,No,No,66,2977-CEBSX
1,Yes,No,33,0177-PXBAT
0,No,No,34,6599-CEBNN
1,No,No,33,2519-ERQOJ
0,Yes,Yes,23,5876-QMYLD
0,No,No,32,2277-AXSDC
0,No,No,11,9442-JTWDL
0,Yes,Yes,69,0979-PHULV
0,Yes,No,68,3067-SVMTC
0,No,No,20,5495-GPSRW
0,No,No,72,7606-BPHHN
0,Yes,Yes,60,4742-DRORA
1,Yes,Yes,32,0111-KLBQG
0,No,No,1,4800-VHZKI
0,No,No,1,7989-CHGTL
1,No,No,3,0334-GDDSO
0,Yes,No,46,4163-NCJAK
0,Yes,No,29,5233-AOZUF
0,No,No,51,5973-EJGDP
1,Yes,No,48,1996-DBMUS
0,Yes,Yes,16,7916-VCCPB
0,Yes,No,70,4686-GEFRM
0,Yes,Yes,40,5249-QYHEX
0,Yes,Yes,22,0578-SKVMF
1,No,No,1,5564-NEMQO
0,Yes,Yes,5,2233-FAGXV
0,No,No,7,5605-IYGFG
0,No,Yes,29,7663-ZTEGJ
0,Yes,Yes,44,3935-TBRZZ
0,No,No,10,8111-BKVDS
1,Yes,No,55,2055-SIFSS
1,Yes,No,52,2806-MLNTI
0,Yes,Yes,10,8734-DKSTZ
0,No,No,18,4360-PNRQB
0,Yes,No,68,6152-ONASV
0,Yes,Yes,61,9063-ZGTUY
0,Yes,Yes,72,7781-HVGMK
0,No,No,2,2181-UAESM
0,No,No,12,2957-LOLHO
0,Yes,No,41,6048-NJXHX
0,No,No,26,2320-SLKMB
0,Yes,No,36,4980-URKXC
0,Yes,Yes,72,4376-KFVRS
0,Yes,No,35,5886-VLQVU
0,No,No,1,3577-AMVUX
0,Yes,Yes,16,0771-WLCLA
1,No,No,49,5628-RKIFK
0,Yes,No,54,0206-TBWLC
0,No,Yes,18,2937-FTHUR
0,Yes,No,36,1910-FMXJM
0,No,No,60,7752-XUSCI
0,No,No,1,4110-PFEUZ
0,Yes,Yes,52,0732-OCQOC
0,Yes,Yes,8,5168-MSWXT
0,Yes,Yes,72,1090-ESELR
0,No,No,64,8592-PLTMQ
1,No,No,22,5760-WRAHC
0,Yes,No,60,8847-GEOOQ
0,Yes,Yes,28,0256-LTHVJ
0,Yes,No,61,4785-FCIFB
0,No,No,24,8313-NDOIA
0,Yes,Yes,28,5149-CUZUJ
0,Yes,Yes,30,0942-KOWSM
0,Yes,No,2,4237-CLSMM
0,No,No,1,1452-VOQCH
0,No,Yes,6,4719-UMSIY
0,Yes,No,24,6614-VBEGU
0,Yes,Yes,4,0880-TKATG
0,No,No,7,3811-VBYBZ
1,Yes,No,72,1480-BKXGA
0,No,No,70,2996-XAUVF
1,Yes,No,64,9076-AXYIK
0,Yes,Yes,72,5968-XQIVE
0,No,Yes,44,8896-RAZCR
0,Yes,Yes,13,4640-UHDOS
1,No,No,17,4933-IKULF
0,No,No,1,3583-EKAPL
0,Yes,No,9,1304-BCCFO
0,Yes,No,24,4104-PVRPS
0,Yes,Yes,1,9399-APLBT
0,No,No,24,2359-KMGLI
1,Yes,Yes,35,3780-DDGSE
0,Yes,Yes,7,4431-EDMIQ
0,No,No,5,0306-JAELE
0,No,Yes,15,6227-HWPWX
0,Yes,Yes,11,0486-LGCCH
0,Yes,No,48,0447-BEMNG
1,No,No,20,4612-SSVHJ
0,Yes,No,72,5168-MQQCA
0,Yes,Yes,8,5949-XIKAE
0,Yes,Yes,72,7971-HLVXI
0,No,No,15,9094-AZPHK
0,No,No,72,3649-JPUGY
0,Yes,Yes,0,4472-LVYGI
0,No,Yes,1,8372-JUXUI
0,Yes,Yes,63,3552-CTCYF
0,No,No,2,6778-YSNIH
0,Yes,No,2,0388-EOPEX
1,Yes,No,61,5756-OZRIO
0,No,No,1,6579-JPICP
0,No,No,22,8205-OTCHB
0,Yes,No,28,4134-BSXLX
0,Yes,No,70,0505-SPOOW
1,No,No,5,6235-VDHOM
0,No,No,12,7783-YKGDV
0,No,No,34,4374-YMUSQ
1,Yes,No,71,4513-CXYIX
0,Yes,Yes,70,3957-HHLMR
0,Yes,Yes,52,7803-XOCCZ
0,No,Yes,69,5736-YEJAX
1,No,No,20,5609-CEBID
0,No,Yes,11,8981-FJGLA
0,Yes,No,2,7218-HKQFK
0,Yes,Yes,6,4636-QRJKY
0,No,No,1,1135-LMECX
1,Yes,Yes,20,4332-MUOEZ
0,No,No,61,8535-SFUTN
1,Yes,No,5,5956-VKDTT
0,No,No,56,8677-HDZEE
0,No,No,30,2475-MROZF
0,No,No,40,9412-GHEEC
0,No,No,28,3482-ABPKK
1,Yes,No,5,6705-LXORM
1,Yes,No,27,0257-ZESQC
0,No,No,12,7531-GQHME
0,Yes,Yes,67,5174-ITUMV
1,Yes,No,29,4109-CYRBD
0,Yes,Yes,55,0913-XWSCN
0,No,No,23,6825-UYPFK
0,Yes,No,34,8397-MVTAZ
0,No,No,52,0750-EBAIU
1,Yes,Yes,72,8606-CIQUL
0,Yes,Yes,58,3571-DPYUH
0,Yes,Yes,35,7601-GNDYK
1,No,No,56,0356-OBMAC
0,Yes,Yes,24,8067-NIOYM
0,Yes,Yes,70,1403-GYAFU
0,No,No,2,4234-XTNEA
1,Yes,Yes,68,1297-VQDRP
0,No,No,1,9282-IZGQK
0,No,No,12,5348-CAGXB
0,Yes,No,63,0621-HJWXJ
0,Yes,Yes,33,5844-QVTAT
0,Yes,No,69,8905-IAZPF
0,Yes,Yes,60,5394-MEITZ
0,Yes,Yes,72,6859-QNXIQ
0,No,No,11,2782-LFZVW
0,No,No,1,2866-IKBTM
0,No,No,10,1342-JPNKI
0,No,No,13,2817-NTQDO
0,Yes,Yes,34,7129-AZJDE
0,Yes,Yes,39,6986-IJDHX
0,No,No,65,2560-PPCHE
1,Yes,No,50,4676-MQUEA
0,No,No,15,8138-EALND
0,Yes,Yes,72,3580-HYCSP
0,Yes,Yes,72,1352-HNSAW
0,Yes,Yes,55,2075-PUEPR
0,Yes,Yes,23,1982-FEBTD
0,No,No,32,5301-GAUUY
0,Yes,Yes,56,5791-KAJFD
0,No,No,1,2654-VBVPB
0,No,No,38,1154-HYWWO
0,No,No,11,2501-XWWTZ
0,No,No,1,3716-UVSPD
0,Yes,No,56,6815-ABQFQ
0,Yes,No,3,7343-EOBEU
0,Yes,Yes,7,3701-SFMUH
0,Yes,Yes,59,6103-LIANB
0,No,No,7,7319-VENRZ
0,Yes,Yes,71,5846-NEQVZ
0,Yes,Yes,15,6967-QIQRV
0,Yes,No,71,5781-RFZRP
0,No,No,35,0939-YAPAF
0,No,No,11,0308-IVGOK
0,Yes,Yes,60,7293-LSCDV
1,No,No,47,7025-WCBNE
0,No,No,11,5756-JYOJT
0,Yes,No,56,4710-FDUIZ
1,Yes,No,28,6030-REHUX
0,Yes,No,61,9548-LIGTA
0,Yes,Yes,31,5150-LJNSR
0,No,No,9,8270-RKSAP
1,Yes,No,35,6522-YRBXD
0,No,No,2,2640-LYMOV
0,Yes,Yes,12,1218-VKFPE
0,No,No,1,3627-FHKBK
1,No,No,4,2865-TCHJW
0,Yes,Yes,1,1423-BMPBQ
0,No,No,3,2393-DIVAI
1,No,No,1,5192-EBGOV
0,No,No,52,4568-KNYWR
0,Yes,Yes,5,8752-IMQOS
0,Yes,No,72,0742-LAFQK
0,Yes,Yes,71,0795-LAFGP
0,Yes,No,72,0619-OLYUR
0,Yes,Yes,46,5512-IDZEI
0,Yes,Yes,63,0459-SPZHJ
0,No,No,30,0215-BQKGS
0,No,No,1,9244-ZVAPM
0,No,No,12,0719-SYFRB
0,No,No,16,8208-EUMTE
0,No,No,4,5172-MIGPM
0,Yes,No,51,1710-RCXUS
0,Yes,No,65,0374-FIUCA
0,No,No,16,5839-SUYVZ
0,No,No,2,5173-ZXXXL
0,Yes,Yes,66,1096-ADRUX
0,No,No,46,2001-MCUUW
0,No,No,32,2731-GJRDG
0,Yes,No,72,4723-BEGSG
0,Yes,Yes,38,6516-NKQBO
0,No,Yes,51,8672-OAUPW
0,Yes,Yes,72,8207-DMRVL
1,Yes,No,65,3419-SNJJD
0,Yes,Yes,9,6543-CPZMK
0,Yes,Yes,9,4765-OXPPD
0,No,Yes,66,2804-ETQDK
1,No,No,44,6689-VRRTK
0,No,No,50,7138-GIRSH
0,No,No,15,9396-ZSFLL
0,No,No,8,6464-KEXXH
1,No,No,66,7134-MJPDY
0,No,No,57,5240-CAOYT
0,No,No,7,4059-IIEBK
1,Yes,Yes,10,4881-JVQOD
0,No,No,62,0516-UXRMT
0,Yes,Yes,40,4851-BQDNX
0,No,No,20,5148-HKFIR
0,No,No,7,1009-IRMNA
0,Yes,No,25,3003-CMDUU
0,Yes,No,23,5016-IBERQ
1,Yes,No,66,6797-UCJHZ
1,No,No,72,2469-DTSGX
1,Yes,No,49,4554-YGZIH
1,Yes,Yes,43,5099-BAILX
0,Yes,No,46,9931-KGHOA
0,Yes,Yes,72,1775-KWJKQ
0,No,No,10,7665-VIGUD
0,No,No,40,9411-TPQQV
0,Yes,Yes,65,7207-RMRDB
0,No,No,31,7954-MLBUN
0,Yes,No,68,2077-DDHJK
1,Yes,Yes,56,4913-EHYUI
0,Yes,No,10,0195-IESCP
0,Yes,Yes,68,9574-BOSMD
0,Yes,Yes,43,4580-TMHJU
0,No,No,1,0970-ETWGE
1,No,No,49,4908-XAXAY
0,Yes,Yes,15,8404-VLQFB
1,Yes,No,20,1626-ERCMM
0,No,No,1,0887-HJGAR
0,Yes,Yes,50,2391-IPLOP
1,No,No,2,5644-PDMZC
1,No,No,24,3509-GWQGF
0,No,No,3,9576-ANLXO
0,No,No,1,2024-BASKD
0,Yes,Yes,35,5845-BZZIB
0,No,No,17,1140-UKVZG
1,No,No,8,4160-AMJTL
0,No,No,10,5183-SNMJQ
0,Yes,Yes,68,8100-PNJMH
0,Yes,No,45,7838-LAZFO
0,Yes,Yes,2,4464-JCOLN
0,Yes,No,37,2085-JVGAD
0,No,No,4,5650-VDUDS
0,No,No,10,8095-WANWK
0,No,No,1,3030-ZKIWL
0,Yes,Yes,65,9565-FLVCG
0,Yes,Yes,57,8755-OGKNA
0,No,No,3,2800-VEQXM
0,No,No,2,7538-GWHML
0,No,No,49,5533-RJFTJ
0,No,No,4,3859-CVCET
0,Yes,No,70,0214-JHPFW
0,Yes,Yes,53,5642-MHDQT
0,Yes,Yes,53,3088-FVYWK
0,No,No,1,3276-HDUEG
0,No,No,22,9092-GDZKO
1,No,No,52,0823-HSCDJ
1,No,No,65,3729-OWRVL
0,No,No,48,2324-AALNO
0,No,No,2,0822-GAVAP
0,No,No,3,5760-IFJOZ
0,Yes,No,45,2826-UWHIS
0,Yes,Yes,1,1448-PWKYE
0,Yes,Yes,61,7501-IWUNG
0,No,No,3,4957-TREIR
1,No,No,40,7251-LJBQN
0,No,No,1,8040-MNRTF
0,No,No,1,1536-HBSWP
0,No,No,51,5313-FPXWG
1,No,No,2,0067-DKWBL
0,No,No,52,0946-FKYTX
0,No,No,51,5076-YVXCM
0,No,No,1,8262-COGGB
0,Yes,Yes,31,6663-JOCQO
0,No,Yes,47,9620-QJREV
0,No,No,3,2276-YDAVZ
1,No,No,22,2682-KEVRP
0,Yes,No,1,2480-JZOSN
0,Yes,No,72,0078-XZMHT
0,Yes,Yes,3,5896-NPFWW
1,Yes,Yes,47,9978-HYCIN
0,Yes,Yes,72,8338-QIUNR
0,Yes,Yes,66,1525-LNLOJ
0,No,No,35,9450-TRJUU
0,No,No,29,1766-GKNMI
0,No,No,2,6942-LBFDP
0,No,No,4,1456-TWCGB
0,No,No,25,7133-VBDCG
0,No,No,65,7596-ZYWBB
1,No,No,27,8329-UTMVM
0,Yes,No,29,3014-WJKSM
0,Yes,Yes,29,3347-YJZZE
0,No,No,1,1029-QFBEN
0,Yes,No,20,7929-DMBCV
0,No,No,58,9661-JALZV
0,No,Yes,14,5433-KYGHE
0,Yes,No,72,4312-KFRXN
0,No,No,46,5575-TPIZQ
0,Yes,No,71,0114-IGABW
0,No,No,32,9944-AEXBM
0,No,No,26,1853-ARAAQ
1,Yes,No,68,6952-OMNWB
0,Yes,Yes,2,4697-LUPSU
0,Yes,Yes,61,8434-VGEQQ
0,Yes,Yes,4,4952-YSOGZ
0,No,No,3,1589-AGTLK
1,Yes,No,33,5244-IRFIH
1,Yes,No,9,6549-YMFAW
0,No,No,22,4950-HKQTE
0,Yes,Yes,5,6786-OBWQR
1,No,No,30,2684-EIWEO
0,No,No,65,2753-JMMCV
0,No,No,45,6439-GTPCA
0,No,No,5,6621-YOBKI
0,Yes,Yes,25,1216-JWVUX
0,Yes,Yes,72,7564-GHCVB
0,Yes,No,27,1173-NOEYG
0,Yes,Yes,32,7595-EHCDL
0,No,No,30,6647-ZEDXT
0,Yes,No,70,2521-NPUZR
1,No,No,42,1307-TVUFB
1,Yes,No,72,7503-MIOGA
0,No,No,47,4381-MHQDC
0,No,No,2,6923-JHPMP
0,No,No,10,5138-WVKYJ
0,Yes,Yes,61,4018-PPNDW
0,No,No,5,1635-FJFCC
1,Yes,No,72,2499-AJYUA
1,Yes,Yes,72,6919-ELBGL
