PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Customer ID
Yes,Credit card (automatic),101.9,2681.15,9323-HGFWY
Yes,Credit card (automatic),80.05,1112.3,8544-GOQSH
No,Electronic check,105.55,7405.5,3363-DTIVD
Yes,Credit card (automatic),78.3,1033.95,7018-WBJNK
No,Credit card (automatic),68.85,2958.95,9142-KZXOP
Yes,Bank transfer (automatic),79.95,2684.85,7674-YTAFD
Yes,Credit card (automatic),55.45,4179.2,6348-SNFUS
No,Electronic check,79.9,79.9,1285-OKIPP
Yes,Electronic check,106.6,1934.45,7825-ECJRF
Yes,Credit card (automatic),102.45,6654.1,1347-KTTTA
Yes,Credit card (automatic),46,84.5,7841-TZDMQ
No,Electronic check,25.25,25.25,4195-NZGTA
No,Mailed check,19.75,1124.2,7157-SMCFK
No,Electronic check,20,540.05,4709-LKHYG
No,Electronic check,86.8,1975.85,2504-DSHIH
Yes,Bank transfer (automatic),58.75,3437.45,0699-NDKJM
No,Credit card (automatic),45.25,3139.8,9286-BHDQG
Yes,Bank transfer (automatic),56.6,3789.2,0230-WEQUW
Yes,Bank transfer (automatic),84.2,5324.5,2040-LDIWQ
Yes,Bank transfer (automatic),80,624.6,6496-JDSSB
Yes,Electronic check,70.15,268.35,9408-SSNVZ
No,Bank transfer (automatic),24.75,1836.9,4443-EMBNA
Yes,Electronic check,20.2,20.2,6469-MRVET
No,Mailed check,50.05,179.35,0742-MOABM
Yes,Bank transfer (automatic),19.35,219.35,5961-VUSRV
Yes,Mailed check,50.6,1288.75,6778-JFCMK
Yes,Mailed check,81.15,2545.75,6341-JVQGF
No,Mailed check,55.2,55.2,2232-DMLXU
Yes,Credit card (automatic),89.9,2723.15,4811-JBUVU
Yes,Credit card (automatic),85.3,4107.25,0945-TSONX
Yes,Credit card (automatic),108,5760.65,2651-ZCBXV
Yes,Credit card (automatic),93.5,4747.5,3316-UWXUY
Yes,Mailed check,84.6,84.6,8937-RDTHP
No,Credit card (automatic),20.25,1566.9,7083-MIOPC
No,Electronic check,25.15,702,1984-GPTEH
Yes,Mailed check,54.4,114.1,1251-KRREG
Yes,Mailed check,29.6,299.05,0621-JFHOL
Yes,Electronic check,73.15,1305.95,9903-LYSAB
Yes,Electronic check,95,1120.3,0094-OIFMO
No,Mailed check,19.75,284.35,9227-UAQFT
No,Bank transfer (automatic),86.6,6350.5,7301-ABVAD
No,Bank transfer (automatic),109.2,7878.3,6614-FHDBO
Yes,Credit card (automatic),74.7,3187.65,7576-ASEJU
No,Electronic check,94.4,6126.15,9058-HRZSV
Yes,Electronic check,54.8,731.3,4522-AKYLR
No,Electronic check,75.35,273.4,0221-WMXNQ
No,Mailed check,65,2531.8,0303-UNCIP
Yes,Electronic check,74.4,1074.3,9947-OTFQU
Yes,Mailed check,48.55,48.55,0322-YINQP
Yes,Electronic check,99,4298.45,0959-WHOKV
Yes,Electronic check,93.5,4619.55,4075-JFPGR
No,Electronic check,70.4,147.15,4629-NRXKX
No,Electronic check,40.2,40.2,9514-JDSKI
No,Credit card (automatic),83.7,2633.3,3282-ZISZV
Yes,Mailed check,19.85,193.05,3675-YDUPJ
Yes,Electronic check,59.55,4103.9,4111-BNXIF
No,Credit card (automatic),115.1,7008.15,7017-VFHAY
No,Credit card (automatic),114.35,5791.1,6655-LHBYW
Yes,Credit card (automatic),44.6,80.55,4959-JOSRX
Yes,Electronic check,45,1228.65,5046-NUHWD
Yes,Electronic check,41.15,132.2,7273-TEFQD
Yes,Electronic check,106.9,1364.3,3606-TWKGI
Yes,Electronic check,89.85,4925.35,7529-ZDFXI
Yes,Bank transfer (automatic),49.85,1520.1,7605-BDWDC
No,Mailed check,113.3,5032.25,1950-KSVVJ
No,Mailed check,88.1,5526.75,0123-CRBRT
No,Bank transfer (automatic),24.9,1195.25,6292-TOSSS
Yes,Mailed check,105,2007.25,3197-ARFOY
No,Mailed check,19.35,1099.6,6323-AYBRX
Yes,Credit card (automatic),24.25,1732.95,7014-ZZXAW
Yes,Electronic check,94.45,1511.2,4385-GZQXV
Yes,Electronic check,59.75,3450.15,7633-MVPUY
No,Bank transfer (automatic),24.8,24.8,6366-ZGQGL
No,Electronic check,107.05,2172.05,4716-HHKQH
No,Mailed check,70.6,70.6,5940-AHUHD
Yes,Electronic check,85.4,401.1,6432-TWQLB
Yes,Electronic check,105.05,5624.85,4484-GLZOU
Yes,Bank transfer (automatic),64.95,1339.8,3179-GBRWV
Yes,Electronic check,55,771.95,8645-KWHJO
No,Bank transfer (automatic),50.55,244.75,4130-MZLCC
No,Mailed check,55.15,322.9,0314-TKOSI
No,Electronic check,51.2,498.25,8229-MYEJZ
No,Mailed check,25.4,25.4,2080-SRCDE
No,Mailed check,54.45,3687.75,9577-WJVCQ
No,Mailed check,95.15,1779.95,9512-UIBFX
Yes,Credit card (automatic),76,1783.6,6202-DYYFX
Yes,Electronic check,44.35,927.15,3808-HFKDE
No,Electronic check,70,70,5583-SXDAG
Yes,Electronic check,74.5,606.55,3488-PGMQJ
Yes,Credit card (automatic),44.85,435.4,3580-REOAC
Yes,Electronic check,76.1,1712.7,7534-BFESC
No,Mailed check,61.2,2021.2,3727-OWVYD
No,Mailed check,86.8,1940.8,2294-SALNE
Yes,Electronic check,89.35,567.8,4847-TAJYI
No,Mailed check,19.7,220.35,1563-IWQEX
No,Mailed check,20.25,20.25,8203-XJZRC
No,Electronic check,76.05,5436.45,6556-DBKZF
Yes,Electronic check,100.8,3437.5,6851-WEFYX
Yes,Electronic check,74.55,3015.75,2985-JUUBZ
Yes,Mailed check,73.6,73.6,6390-DSAZX
Yes,Bank transfer (automatic),64.9,1509.8,0895-LMRSF
Yes,Electronic check,95.45,396.1,8098-LLAZX
Yes,Electronic check,90.4,356.65,8266-VBFQL
No,Credit card (automatic),60.3,4109,8181-YHCMF
Yes,Mailed check,81.85,3141.7,2240-HSJQD
No,Mailed check,24.8,1229.1,1248-DYXUB
Yes,Electronic check,74.9,2303.35,0265-EDXBD
No,Mailed check,75.55,2054.4,4115-BNPJY
No,Electronic check,101.15,3741.85,3167-SNQPL
Yes,Credit card (automatic),78.75,3682.45,4091-TVOCN
Yes,Bank transfer (automatic),19.25,19.25,1098-TDVUQ
Yes,Electronic check,89.05,1886.25,7277-OZCGZ
No,Credit card (automatic),115.05,4895.1,1557-EMYVT
Yes,Electronic check,69.35,341.6,2799-ARNLO
Yes,Electronic check,80.6,415.55,7563-BIUPC
No,Credit card (automatic),110.05,5686.4,5027-YOCXN
Yes,Credit card (automatic),19.9,1355.1,3973-SKMLN
No,Credit card (automatic),80.3,3058.65,2321-OMBXY
Yes,Electronic check,93.15,2231.05,2840-XANRC
Yes,Credit card (automatic),91.5,3236.35,6745-JEFZB
No,Bank transfer (automatic),82.45,4350.1,5020-ZSTTY
Yes,Electronic check,60,4264,9880-TDQAC
Yes,Electronic check,44.8,44.8,8705-WZCYL
No,Mailed check,48.6,422.3,7102-JJVTX
Yes,Bank transfer (automatic),60.05,4176.7,8626-PTQGE
Yes,Credit card (automatic),102.7,5138.1,4983-CLMLV
Yes,Electronic check,82.9,880.05,5701-YVSVF
Yes,Electronic check,70.35,139.05,5804-LEPIM
Yes,Electronic check,35.9,973.65,5697-GOMBF
Yes,Credit card (automatic),82.65,1470.05,2739-CACDQ
Yes,Mailed check,19.85,739.35,9385-EHGDO
Yes,Mailed check,19.2,161.95,9498-FIMXL
Yes,Credit card (automatic),94.9,4422.95,2379-GYFLQ
Yes,Electronic check,73.85,511.25,0122-OAHPZ
No,Mailed check,80.6,155.8,2868-SNELZ
Yes,Bank transfer (automatic),75.8,5293.95,4322-RCYMT
Yes,Electronic check,104.6,4759.85,6680-NENYN
Yes,Electronic check,88.15,6148.45,2088-IEBAU
Yes,Credit card (automatic),94.8,3565.65,7982-VCELR
Yes,Electronic check,103.4,6603,1343-EHPYB
No,Bank transfer (automatic),54.65,1830.1,6035-BXTTY
No,Credit card (automatic),85.75,6223.8,6885-PKOAM
Yes,Bank transfer (automatic),67.45,4508.65,7520-HQWJU
No,Mailed check,20.5,1328.15,9639-BUJXT
Yes,Credit card (automatic),20.25,865,5924-SNGKP
Yes,Electronic check,72.1,72.1,0021-IKXGC
Yes,Electronic check,90.4,168.2,2034-GDRCN
No,Bank transfer (automatic),19.45,1303.5,8966-SNIZF
Yes,Electronic check,44.95,996.85,6243-OZGFH
No,Bank transfer (automatic),97,6430.9,4654-DLAMQ
Yes,Credit card (automatic),62.8,2278.75,0513-RBGPE
No,Mailed check,44.6,681.4,5160-UXJED
Yes,Electronic check,89.15,574.35,4115-NZRKS
Yes,Bank transfer (automatic),84.8,371.9,0219-YTZUE
Yes,Electronic check,41.9,840.1,0623-IIHUG
Yes,Bank transfer (automatic),80.25,846,4572-DVCGN
Yes,Electronic check,54.1,889,3351-NGXYI
Yes,Electronic check,105.25,6823.4,8984-EYLLL
No,Credit card (automatic),30.75,805.1,9057-MSWCO
No,Electronic check,97.1,4016.75,9833-TGFHX
No,Mailed check,20.2,83.75,9294-TDIPC
Yes,Bank transfer (automatic),98.8,3959.15,5229-DTFYB
No,Credit card (automatic),50.3,2878.55,0104-PPXDV
Yes,Mailed check,20.55,945.7,5176-LMJXE
Yes,Bank transfer (automatic),75.9,1373.05,3583-KRKMD
No,Bank transfer (automatic),96.5,492.55,1010-DIAUQ
Yes,Bank transfer (automatic),59.95,1406,9069-LGEUL
No,Mailed check,19.15,19.15,7302-ZHMHP
Yes,Credit card (automatic),98.65,6962.85,9571-EDEBV
Yes,Credit card (automatic),112.6,8126.65,3520-FJGCV
No,Mailed check,20.6,690.25,6563-VRERX
Yes,Electronic check,85.65,181.5,0259-GBZSH
No,Mailed check,35.75,830.8,6122-EFVKN
Yes,Credit card (automatic),99.75,5608.4,2805-EDJPQ
Yes,Credit card (automatic),96.1,3646.8,6862-CQUMB
No,Credit card (automatic),85.1,3662.25,7156-MXBJE
No,Mailed check,25.35,25.35,6158-HDPXZ
Yes,Bank transfer (automatic),104.95,2566.5,9601-BRXPO
No,Electronic check,89.65,5308.7,2863-IMQDR
No,Electronic check,86.75,1410.25,5686-CMAWK
Yes,Bank transfer (automatic),86.2,3339.05,5651-CRHKQ
No,Mailed check,50.65,50.65,6905-NIQIN
Yes,Bank transfer (automatic),64.8,4732.35,8204-YJCLA
Yes,Credit card (automatic),90.85,90.85,5167-ZFFMM
Yes,Bank transfer (automatic),108.1,5067.45,6583-SZVGP
No,Mailed check,19.95,214.75,4895-TMWIR
Yes,Electronic check,85.45,4874.7,0533-BNWKF
Yes,Electronic check,54.75,2348.45,1708-PBBOA
Yes,Mailed check,90.4,4063,8782-LKFPK
No,Electronic check,44,44,5522-JBWMO
Yes,Bank transfer (automatic),95.6,2595.25,3597-MVHJT
Yes,Bank transfer (automatic),84.8,2309.55,9774-NRNAU
Yes,Electronic check,44.3,89.3,0224-RLWWD
No,Mailed check,19.9,367.55,9967-ATRFS
Yes,Electronic check,95.05,3944.5,3951-NJCVI
Yes,Credit card (automatic),90.05,5965.95,2977-CEBSX
Yes,Bank transfer (automatic),109.9,3694.7,0177-PXBAT
Yes,Credit card (automatic),73.95,2524.45,6599-CEBNN
Yes,Electronic check,54.6,1803.7,2519-ERQOJ
No,Mailed check,20.05,415.1,5876-QMYLD
No,Bank transfer (automatic),19.75,624.15,2277-AXSDC
No,Credit card (automatic),20.05,237.7,9442-JTWDL
Yes,Credit card (automatic),99.45,7007.6,0979-PHULV
No,Bank transfer (automatic),55.9,3848.8,3067-SVMTC
Yes,Mailed check,19.7,419.4,5495-GPSRW
Yes,Credit card (automatic),19.8,1468.75,7606-BPHHN
Yes,Bank transfer (automatic),95.4,5812,4742-DRORA
Yes,Mailed check,93.95,2861.45,0111-KLBQG
Yes,Mailed check,19.9,19.9,4800-VHZKI
Yes,Mailed check,19.6,19.6,7989-CHGTL
Yes,Electronic check,81.35,233.7,0334-GDDSO
Yes,Bank transfer (automatic),24.45,1066.15,4163-NCJAK
Yes,Electronic check,74.95,2149.05,5233-AOZUF
Yes,Electronic check,87.35,4473,5973-EJGDP
Yes,Bank transfer (automatic),70.65,3545.05,1996-DBMUS
No,Bank transfer (automatic),73.25,1195.75,7916-VCCPB
Yes,Bank transfer (automatic),98.7,6858.9,4686-GEFRM
Yes,Mailed check,24.8,1024.7,5249-QYHEX
No,Electronic check,83.3,1845.9,0578-SKVMF
Yes,Bank transfer (automatic),75.3,75.3,5564-NEMQO
Yes,Mailed check,24.3,132.25,2233-FAGXV
Yes,Bank transfer (automatic),69.85,515.45,5605-IYGFG
No,Credit card (automatic),100.55,2830.45,7663-ZTEGJ
No,Mailed check,25.7,1110.5,3935-TBRZZ
No,Bank transfer (automatic),40.7,449.3,8111-BKVDS
No,Bank transfer (automatic),51.65,2838.55,2055-SIFSS
Yes,Bank transfer (automatic),105.1,5376.4,2806-MLNTI
No,Electronic check,85.95,858.6,8734-DKSTZ
Yes,Bank transfer (automatic),75.6,1395.05,4360-PNRQB
No,Bank transfer (automatic),58.25,3975.7,6152-ONASV
Yes,Mailed check,19.4,1182.55,9063-ZGTUY
Yes,Credit card (automatic),65.2,4784.45,7781-HVGMK
No,Electronic check,53.45,119.5,2181-UAESM
Yes,Bank transfer (automatic),45.4,518.9,2957-LOLHO
Yes,Electronic check,19.75,899.45,6048-NJXHX
Yes,Credit card (automatic),44.45,1183.8,2320-SLKMB
No,Bank transfer (automatic),20.85,720.05,4980-URKXC
Yes,Credit card (automatic),114.05,8468.2,4376-KFVRS
Yes,Bank transfer (automatic),89.85,3161.2,5886-VLQVU
No,Mailed check,55.05,55.05,3577-AMVUX
Yes,Electronic check,112.95,1882.55,0771-WLCLA
No,Credit card (automatic),101.55,5070.4,5628-RKIFK
Yes,Mailed check,114.65,6049.5,0206-TBWLC
No,Electronic check,64.8,1166.7,2937-FTHUR
No,Electronic check,80.4,2937.65,1910-FMXJM
Yes,Electronic check,105.9,6396.45,7752-XUSCI
No,Mailed check,69.55,69.55,4110-PFEUZ
Yes,Bank transfer (automatic),25.05,1270.25,0732-OCQOC
Yes,Electronic check,94.75,759.55,5168-MSWXT
No,Bank transfer (automatic),105.5,7611.55,1090-ESELR
No,Mailed check,24.7,1642.75,8592-PLTMQ
Yes,Mailed check,69.75,1545.4,5760-WRAHC
Yes,Bank transfer (automatic),60.2,3582.4,8847-GEOOQ
Yes,Electronic check,81.05,2227.1,0256-LTHVJ
No,Mailed check,24.4,1417.9,4785-FCIFB
Yes,Electronic check,104.15,2494.65,8313-NDOIA
No,Bank transfer (automatic),92.9,2768.35,5149-CUZUJ
No,Bank transfer (automatic),80.8,2369.3,0942-KOWSM
No,Mailed check,20,38,4237-CLSMM
Yes,Electronic check,75.1,75.1,1452-VOQCH
No,Mailed check,19.65,100.9,4719-UMSIY
Yes,Bank transfer (automatic),69.45,1614.05,6614-VBEGU
No,Electronic check,101.15,385.9,0880-TKATG
Yes,Electronic check,99.8,673.25,3811-VBYBZ
Yes,Bank transfer (automatic),116.05,8404.9,1480-BKXGA
Yes,Mailed check,40.05,2799.75,2996-XAUVF
No,Electronic check,102.1,6538.45,9076-AXYIK
Yes,Electronic check,89.7,6588.95,5968-XQIVE
No,Mailed check,19.9,868.1,8896-RAZCR
No,Electronic check,55.95,734.35,4640-UHDOS
No,Mailed check,20.65,330.6,4933-IKULF
Yes,Electronic check,55,55,3583-EKAPL
Yes,Mailed check,70.05,564.4,1304-BCCFO
No,Mailed check,53.6,1315.35,4104-PVRPS
Yes,Electronic check,74.7,74.7,9399-APLBT
Yes,Electronic check,80.25,1861.5,2359-KMGLI
Yes,Electronic check,76.05,2747.2,3780-DDGSE
Yes,Electronic check,75.7,554.05,4431-EDMIQ
Yes,Electronic check,96.1,453.4,0306-JAELE
No,Bank transfer (automatic),69,994.8,6227-HWPWX
No,Mailed check,19.65,225.75,0486-LGCCH
Yes,Bank transfer (automatic),45.3,2145,0447-BEMNG
Yes,Electronic check,81.45,1671.6,4612-SSVHJ
Yes,Bank transfer (automatic),108.5,8003.8,5168-MQQCA
Yes,Electronic check,83.55,680.05,5949-XIKAE
Yes,Credit card (automatic),84.5,6130.85,7971-HLVXI
Yes,Electronic check,100.15,1415,9094-AZPHK
Yes,Bank transfer (automatic),88.6,6201.95,3649-JPUGY
Yes,Bank transfer (automatic),52.55, ,4472-LVYGI
