PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Customer ID
No,No ,DSL,No,No,No,No,No,No,6180-YBIQI
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,Yes,6728-DKUCO
No,No ,DSL,Yes,No,No,No,No,No,9750-BOOHV
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,8597-CWYHH
Yes,No,No,No,No,No,No,No,No,2848-YXSMW
Yes,Yes,Fiber optic,Yes,Yes,No,No,Yes,No,0486-HECZI
Yes,No,DSL,Yes,No,Yes,Yes,No,No,4549-ZDQYY
Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,5712-AHQNN
Yes,Yes,Fiber optic,No,No,No,No,No,No,4846-WHAFZ
No,No ,DSL,No,Yes,No,Yes,Yes,Yes,5256-SKJGO
Yes,No ,Fiber optic,Yes,Yes,No,No,Yes,No,3071-VBYPO
No,No ,DSL,Yes,No,No,No,No,No,9560-BBZXK
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,5299-RULOA
Yes,No,No,No ,No ,No ,No ,No ,No ,8402-OOOHJ
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,9445-ZUEQE
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,1091-SOZGA
Yes,No,No,No,No,No,No,No,No,2928-HLDBA
Yes,Yes,Fiber optic,No,No,No,No,No,No,0404-SWRVG
Yes,No,DSL,Yes,No,No,No,No,No,6497-TILVL
Yes,No,No,No ,No ,No ,No ,No ,No ,7219-TLZHO
Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No,4622-YNKIJ
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,4412-YLTKF
Yes,Yes,No,No,No,No,No,No,No,6734-PSBAW
Yes,No,No,No,No,No,No,No,No,3930-ZGWVE
No,No,DSL,Yes,Yes,No,No,Yes,Yes,2639-UGMAZ
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2876-GZYZC
No,No ,DSL,Yes,Yes,Yes,No,Yes,Yes,6207-WIOLX
Yes,No ,DSL,No,No,No,Yes,No,No,8587-XYZSF
No,No ,DSL,No,No,No,No,No,Yes,3091-FYHKI
Yes,No,DSL,No,No,No,No,No,No,2372-HWUHI
Yes,Yes,No,No,No,No,No,No,No,7799-LGRDP
Yes,No,Fiber optic,Yes,No,No,No,No,No,7850-VWJUU
Yes,No,No,No ,No ,No ,No ,No ,No ,3774-VBNXY
Yes,No,No,No ,No ,No ,No ,No ,No ,6217-KDYWC
Yes,No,Fiber optic,No,No,No,No,No,No,0390-DCFDQ
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,3146-MSEGF
Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,4080-OGPJL
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,1095-WGNGG
Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,2636-SJDOU
Yes,Yes,No,No ,No ,No ,No ,No ,No ,1131-QQZEB
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,5716-EZXZN
Yes,No,No,No ,No ,No ,No ,No ,No ,6837-BJYDQ
Yes,No,DSL,No,No,No,No,No,No,2135-RXIHG
Yes,No,DSL,No,Yes,Yes,No,Yes,No,6440-DKQGE
Yes,No,DSL,No,Yes,Yes,Yes,No,Yes,3466-BYAVD
Yes,No,DSL,No,No,No,Yes,Yes,Yes,3780-YVMFA
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,3874-EQOEP
Yes,Yes,Fiber optic,Yesz,Yes,Yes,No,Yes,Yes,1679-JRFBR
Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,9073-ZZIAY
Yes,No,No,No ,No ,No ,No ,No ,No ,3077-RSNTJ
Yes,No,Fiber optic,No,No,No,No,No,Yes,6551-GNYDG
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,9167-APMXZ
Yes,No,No,No,No,No,No,No,No,2749-CTKAJ
Yes,No,DSL,Yes,No,Yes,No,Yes,No,6371-NZYEG
Yes,Yes,No,No ,No ,No ,No ,No ,No ,7554-NEWDD
Yes,No,DSL,No,Yes,No,No,No,No,8992-VONJD
Yes,Yes,Fiber optic,Yes,No,No,No,No,No,0867-MKZVY
Yes,No,Fiber optic,No,No,No,No,No,No,4482-EWFMI
Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,4648-YPBTM
Yes,No,No,No,No,No,No,No,No,2907-ILJBN
Yes,No,No,No,No,No,No,No,No,6345-FZOQH
Yes,No,Fiber optic,No,No,No,No,No,No,3376-BMGFE
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,5997-OPVFA
No,No ,DSL,No,Yes,Yes,No,No,Yes,3445-HXXGF
Yes,No,No,No,No,No,No,No,No,1159-WFSGR
Yes,No,Fiber optic,Yes,No,Yes,Yes,No,No,7654-YWJUF
Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,1875-QIVME
Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,6727-IOTLZ
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,0691-JVSYA
Yes,No,No,No,No,No,No,No,No,5918-VUKWP
Yes,Yes,No,No,No,No,No,No,No,1744-JHKYS
Yes,Yes,Fiber optic,No,No,No,No,No,No,2656-FMOKZ
Yes,No,Fiber optic,Yes,No,No,No,No,No,2070-FNEXE
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,5947-SGKCL
Yes,No,No,No,No,No,No,No,No,3712-PKXZA
No,No,DSL,No,Yes,No,No,No,No,6317-YPKDH
Yes,No,DSL,No,No,No,No,No,No,6582-OIVSP
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,9367-WXLCH
Yes,No,DSL,Yes,No,Yes,No,Yes,Yes,5524-KHNJP
Yes,No,Fiber optic,No,Yes,Yes,No,No,No,1918-ZBFQJ
No,No,DSL,No,No,No,No,No,No,1024-GUALD
Yes,No,DSL,No,Yes,No,No,No,No,4827-USJHP
No,No,DSL,No,No,No,Yes,No,No,8167-GJLRN
Yes,No,No,No,No,No,No,No,No,0956-SYCWG
Yes,Yes,DSL,No,Yes,No,No,No,No,8017-UVSZU
Yes,Yes,DSL,Yes,No,No,Yes,No,Yes,7100-FQPRV
Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,2472-OVKUP
Yes,No,No,No,No,No,No,No,No,2984-RGEYA
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,9680-NIAUV
Yes,No,No,No,No,No,No,No,No,2146-EGVDT
Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,No,2604-IJPDU
Yes,Yes,No,No,No,No,No,No,No,9178-JHUVJ
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,6168-YBYNP
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,7255-SSFBC
Yes,No,No,No,No,No,No,No,No,3645-DEYGF
Yes,No,Fiber optic,Yes,No,No,Yes,Yes,Yes,9323-HGFWY
Yes,No,Fiber optic,No,Yes,No,Yes,No,No,8544-GOQSH
Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,Yes,3363-DTIVD
Yes,No,Fiber optic,No,No,No,No,Yes,No,7018-WBJNK
Yes,No,Fiber optic,No,No,No,No,No,No,9142-KZXOP
Yes,No,Fiber optic,No,Yes,No,Yes,No,No,7674-YTAFD
No,No,DSL,Yes,Yes,Yes,Yes,No,Yes,6348-SNFUS
Yes,No,Fiber optic,No,No,No,No,No,Yes,1285-OKIPP
Yes,No,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,7825-ECJRF
Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,1347-KTTTA
Yes,No,DSL,No,No,No,No,No,No,7841-TZDMQ
No,No,DSL,No,No,No,No,No,No,4195-NZGTA
Yes,No,No,No,No,No,No,No,No,7157-SMCFK
Yes,No,No,No,No,No,No,No,No,4709-LKHYG
Yes,Yes,Fiber optic,No,No,No,No,No,Yes,2504-DSHIH
No,No ,DSL,Yes,Yes,Yes,No,Yes,Yes,0699-NDKJM
No,No ,DSL,Yes,Yes,Yes,Yes,No,No,9286-BHDQG
No,No ,DSL,Yes,Yes,Yes,Yes,Yes,No,0230-WEQUW
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,2040-LDIWQ
Yes,No,Fiber optic,No,No,No,No,Yes,No,6496-JDSSB
Yes,No,Fiber optic,No,No,No,No,No,No,9408-SSNVZ
Yes,Yes,No,No,No,No,No,No,No,4443-EMBNA
Yes,No,No,No,No,No,No,No,No,6469-MRVET
Yes,No,DSL,No,No,No,Yes,No,No,0742-MOABM
Yes,No,No,No,No,No,No,No,No,5961-VUSRV
No,No,DSL,Yes,No,No,No,Yes,Yes,6778-JFCMK
Yes,No,DSL,Yes,No,Yes,Yes,Yes,Yes,6341-JVQGF
Yes,No,DSL,No,No,No,No,Yes,No,2232-DMLXU
Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,4811-JBUVU
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,0945-TSONX
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,2651-ZCBXV
Yes,No,Fiber optic,Yes,Yes,No,Yes,No,Yes,3316-UWXUY
Yes,No,Fiber optic,Yes,No,No,No,No,Yes,8937-RDTHP
Yes,No,No,No,No,No,No,No,No,7083-MIOPC
Yes,Yes,No,No,No,No,No,No,No,1984-GPTEH
Yes,Yes,DSL,No,Yes,No,No,No,No,1251-KRREG
No,No ,DSL,No,No,No,Yes,No,No,0621-JFHOL
Yes,Yes,Fiber optic,No,No,No,No,No,No,9903-LYSAB
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,0094-OIFMO
Yes,No,No,No,No,No,No,No,No,9227-UAQFT
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,7301-ABVAD
Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,6614-FHDBO
Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,7576-ASEJU
Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,9058-HRZSV
Yes,No,DSL,No,Yes,Yes,No,No,No,4522-AKYLR
Yes,No,Fiber optic,Yes,No,No,No,No,No,0221-WMXNQ
Yes,Yes,DSL,No,No,Yes,No,No,Yes,0303-UNCIP
Yes,No,Fiber optic,No,Yes,No,No,No,No,9947-OTFQU
Yes,No,DSL,Yes,No,No,No,No,No,0322-YINQP
Yes,Yes,Fiber optic,Yes,Yes,Yes,No,No,Yes,0959-WHOKV
Yes,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,4075-JFPGR
Yes,No,Fiber optic,No,No,No,No,No,No,4629-NRXKX
No,No,DSL,No,Yes,No,No,Yes,No,9514-JDSKI
Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,Yes,3282-ZISZV
Yes,No,No,No,No,No,No,No,No,3675-YDUPJ
No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,4111-BNXIF
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,7017-VFHAY
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,6655-LHBYW
Yes,No,DSL,No,No,No,No,No,No,4959-JOSRX
No,No,DSL,Yes,No,Yes,No,No,Yes,5046-NUHWD
No,No,DSL,No,No,Yes,No,No,Yes,7273-TEFQD
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,3606-TWKGI
Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,7529-ZDFXI
No,No ,DSL,Yes,Yes,No,Yes,No,Yes,7605-BDWDC
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1950-KSVVJ
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,0123-CRBRT
Yes,Yes,No,No,No,No,No,No,No,6292-TOSSS
Yes,No,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,3197-ARFOY
Yes,No,No,No,No,No,No,No,No,6323-AYBRX
Yes,Yes,No,No,No,No,No,No,No,7014-ZZXAW
Yes,No,Fiber optic,No,No,No,Yes,Yes,Yes,4385-GZQXV
Yes,No,DSL,Yes,Yes,No,Yes,No,No,7633-MVPUY
No,No,DSL,No,No,No,No,No,No,6366-ZGQGL
Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,4716-HHKQH
Yes,No,Fiber optic,No,No,No,No,No,No,5940-AHUHD
Yes,Yes,Fiber optic,No,Yes,No,Yes,No,No,6432-TWQLB
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,4484-GLZOU
Yes,No,DSL,Yes,Yes,No,No,No,Yes,3179-GBRWV
No,No,DSL,No,No,Yes,Yes,Yes,Yes,8645-KWHJO
Yes,No,DSL,No,Yes,No,No,No,No,4130-MZLCC
Yes,No,DSL,Yes,Yes,No,No,No,No,0314-TKOSI
Yes,No,DSL,No,Yes,No,No,No,No,8229-MYEJZ
Yes,Yes,No,No,No,No,No,No,No,2080-SRCDE
Yes,Yes,DSL,Yes,No,No,No,No,No,9577-WJVCQ
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,9512-UIBFX
Yes,Yes,Fiber optic,No,No,No,No,No,No,6202-DYYFX
Yes,No,DSL,No,No,No,No,No,No,3808-HFKDE
Yes,No,Fiber optic,No,No,No,No,No,No,5583-SXDAG
Yes,No,Fiber optic,No,Yes,No,No,No,No,3488-PGMQJ
Yes,No,DSL,No,No,No,No,No,No,3580-REOAC
Yes,Yes,Fiber optic,No,No,No,No,No,No,7534-BFESC
Yes,No,DSL,Yes,Yes,Yes,No,No,No,3727-OWVYD
Yes,No,Fiber optic,No,Yes,Yes,Yes,No,No,2294-SALNE
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4847-TAJYI
Yes,No,No,No,No,No,No,No,No,1563-IWQEX
Yes,No,No,No,No,No,No,No,No,8203-XJZRC
Yes,No,Fiber optic,No,No,Yes,No,No,No,6556-DBKZF
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,6851-WEFYX
Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,2985-JUUBZ
Yes,No,Fiber optic,Yes,No,No,No,No,No,6390-DSAZX
Yes,No,DSL,No,No,No,No,Yes,Yes,0895-LMRSF
Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,8098-LLAZX
Yes,No,Fiber optic,No,No,Yes,Yes,No,Yes,8266-VBFQL
No,No,DSL,No,Yes,Yes,Yes,Yes,Yes,8181-YHCMF
Yes,Yes,Fiber optic,No,Yes,No,No,No,No,2240-HSJQD
Yes,Yes,No,No,No,No,No,No,No,1248-DYXUB
Yes,Yes,Fiber optic,No,No,No,No,No,No,0265-EDXBD
Yes,No,DSL,No,No,Yes,Yes,Yes,Yes,4115-BNPJY
Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,3167-SNQPL
Yes,Yes,DSL,Yes,No,Yes,No,Yes,Yes,4091-TVOCN
Yes,No,No,No,No,No,No,No,No,1098-TDVUQ
Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,7277-OZCGZ
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,1557-EMYVT
Yes,No,Fiber optic,No,No,No,No,No,No,2799-ARNLO
Yes,No,Fiber optic,No,No,No,No,Yes,No,7563-BIUPC
Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,Yes,5027-YOCXN
Yes,No,No,No,No,No,No,No,No,3973-SKMLN
Yes,No,DSL,Yes,Yes,No,Yes,Yes,Yes,2321-OMBXY
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,2840-XANRC
Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,6745-JEFZB
Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,Yes,5020-ZSTTY
No,No ,DSL,No,Yes,Yes,Yes,Yes,Yes,9880-TDQAC
Yes,No,DSL,No,No,No,No,No,No,8705-WZCYL
Yes,No,DSL,Yes,No,No,No,No,No,7102-JJVTX
No,No,DSL,Yes,Yes,No,Yes,Yes,Yes,8626-PTQGE
Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,4983-CLMLV
Yes,No,Fiber optic,No,No,No,Yes,Yes,No,5701-YVSVF
Yes,No,Fiber optic,No,No,No,No,No,No,5804-LEPIM
No,No,DSL,No,No,No,No,Yes,No,5697-GOMBF
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,2739-CACDQ
Yes,No,No,No,No,No,No,No,No,9385-EHGDO
Yes,No,No,No,No,No,No,No,No,9498-FIMXL
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,No,2379-GYFLQ
Yes,Yes,Fiber optic,No,No,No,No,No,No,0122-OAHPZ
Yes,Yes,Fiber optic,No,No,Yes,No,No,No,2868-SNELZ
Yes,Yes,DSL,No,Yes,Yes,Yes,No,Yes,4322-RCYMT
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,6680-NENYN
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,2088-IEBAU
Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,7982-VCELR
Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,1343-EHPYB
Yes,No,DSL,No,Yes,No,Yes,No,No,6035-BXTTY
Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,6885-PKOAM
Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,7520-HQWJU
Yes,No,No,No,No,No,No,No,No,9639-BUJXT
Yes,No,No,No,No,No,No,No,No,5924-SNGKP
Yes,Yes,Fiber optic,No ,No,No,No,No,No,0021-IKXGC
Yes,No,Fiber optic,No ,No,No,No,Yes,Yes,2034-GDRCN
Yes,No,No,No,No,No,No,No,No,8966-SNIZF
No,No,DSL,No,No,No,No,Yes,Yes,6243-OZGFH
Yes,No,Fiber optic,Yes,Yes,Yes,No,No,Yes,4654-DLAMQ
Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,0513-RBGPE
Yes,No,DSL,No,No,No,No,No,No,5160-UXJED
Yes,No,Fiber optic,No,No,No,No,Yes,Yes,4115-NZRKS
Yes,Yes,Fiber optic,No,Yes,Yes,No,No,No,0219-YTZUE
No,No ,DSL,Yes,No,No,No,Yes,No,0623-IIHUG
Yes,No,Fiber optic,No,No,No,No,No,Yes,4572-DVCGN
Yes,Yes,DSL,Yes,No,No,No,No,No,3351-NGXYI
Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,8984-EYLLL
No,No ,DSL,Yes,No,No,No,No,No,9057-MSWCO
Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,9833-TGFHX
Yes,No,No,No,No,No,No,No,No,9294-TDIPC
Yes,No,Fiber optic,No,Yes,No,Yes,Yes,Yes,5229-DTFYB
Yes,No,DSL,No,No,Yes,No,No,No,0104-PPXDV
Yes,No,No,No,No,No,No,No,No,5176-LMJXE
Yes,No,Fiber optic,No,No,No,Yes,No,No,3583-KRKMD
Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,1010-DIAUQ
Yes,No,DSL,Yes,No,No,No,No,Yes,9069-LGEUL
Yes,No,No,No,No,No,No,No,No,7302-ZHMHP
Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,9571-EDEBV
Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,3520-FJGCV
Yes,No,No,No,No,No,No,No,No,6563-VRERX
Yes,Yes,Fiber optic,No,No,No,No,Yes,No,0259-GBZSH
