Customer ID,Gender,Age
5947-SGKCL,Female,23
3712-PKXZA,Male,24
6317-YPKDH,Female,25
6582-OIVSP,Female,26
9367-WXLCH,Male,27
5524-KHNJP,Male,28
1918-ZBFQJ,Female,29
1024-GUALD,Female,30
4827-USJHP,Male,31
8167-GJLRN,Male,32
0956-SYCWG,Female,33
8017-UVSZU,Female,34
7100-FQPRV,Male,35
2472-OVKUP,Male,36
2984-RGEYA,Female,37
9680-NIAUV,Female,38
2146-EGVDT,Male,39
2604-IJPDU,Female,40
9178-JHUVJ,Male,41
6168-YBYNP,Male,42
7255-SSFBC,Male,43
3645-DEYGF,Male,44
9323-HGFWY,Female,45
8544-GOQSH,Female,46
3363-DTIVD,Male,47
7018-WBJNK,Male,48
9142-KZXOP,Male,49
7674-YTAFD,Female,50
6348-SNFUS,Male,51
1285-OKIPP,Male,52
7825-ECJRF,Female,53
1347-KTTTA,Male,54
7841-TZDMQ,Male,55
4195-NZGTA,Female,56
7157-SMCFK,Male,57
4709-LKHYG,Female,58
2504-DSHIH,Male,20
0699-NDKJM,Female,21
9286-BHDQG,Male,22
0230-WEQUW,Male,23
2040-LDIWQ,Male,24
6496-JDSSB,Female,25
9408-SSNVZ,Female,26
4443-EMBNA,Female,27
6469-MRVET,Male,28
0742-MOABM,Male,29
5961-VUSRV,Female,30
6778-JFCMK,Male,31
6341-JVQGF,Female,32
2232-DMLXU,Female,33
4811-JBUVU,Male,34
0945-TSONX,Female,20
2651-ZCBXV,Male,21
3316-UWXUY,Male,22
8937-RDTHP,Male,23
7083-MIOPC,Female,24
1984-GPTEH,Female,25
1251-KRREG,Male,26
0621-JFHOL,Female,27
9903-LYSAB,Male,28
0094-OIFMO,Female,29
9227-UAQFT,Male,30
7301-ABVAD,Female,31
6614-FHDBO,Male,32
7576-ASEJU,Female,33
9058-HRZSV,Female,34
4522-AKYLR,Female,35
0221-WMXNQ,Male,36
0303-UNCIP,Male,37
9947-OTFQU,Male,38
0322-YINQP,Male,39
0959-WHOKV,Male,40
4075-JFPGR,Female,20
4629-NRXKX,Female,21
9514-JDSKI,Male,22
3282-ZISZV,Male,23
3675-YDUPJ,Male,24
4111-BNXIF,Female,25
7017-VFHAY,Female,26
6655-LHBYW,Male,27
4959-JOSRX,Female,28
5046-NUHWD,Female,29
7273-TEFQD,Male,30
3606-TWKGI,Male,31
7529-ZDFXI,Male,20
7605-BDWDC,Female,21
1950-KSVVJ,Female,22
0123-CRBRT,Female,23
6292-TOSSS,Male,24
3197-ARFOY,Female,25
6323-AYBRX,Male,26
7014-ZZXAW,Female,27
4385-GZQXV,Female,28
7633-MVPUY,Male,29
6366-ZGQGL,Male,30
4716-HHKQH,Male,31
5940-AHUHD,Male,32
6432-TWQLB,Male,33
4484-GLZOU,Female,20
3179-GBRWV,Male,20
8645-KWHJO,Male,20
4130-MZLCC,Female,20
0314-TKOSI,Female,22
8229-MYEJZ,Female,22
2080-SRCDE,Female,22
9577-WJVCQ,Female,22
9512-UIBFX,Male,23
6202-DYYFX,Female,23
3808-HFKDE,Female,23
5583-SXDAG,Male,23
3488-PGMQJ,Male,24
3580-REOAC,Male,24
7534-BFESC,Male,24
3727-OWVYD,Male,24
2294-SALNE,Male,24
4847-TAJYI,Female,24
1563-IWQEX,Female,24
8203-XJZRC,Male,25
6556-DBKZF,Female,25
6851-WEFYX,Male,25
2985-JUUBZ,Male,25
6390-DSAZX,Female,25
0895-LMRSF,Male,25
8098-LLAZX,Female,25
8266-VBFQL,Male,20
8181-YHCMF,Female,21
2240-HSJQD,Male,22
1248-DYXUB,Male,23
0265-EDXBD,Male,24
4115-BNPJY,Male,25
3167-SNQPL,Male,26
4091-TVOCN,Male,27
1098-TDVUQ,Female,28
7277-OZCGZ,Female,29
1557-EMYVT,Female,30
2799-ARNLO,Female,20
7563-BIUPC,Male,21
5027-YOCXN,Male,22
3973-SKMLN,Male,23
2321-OMBXY,Female,24
2840-XANRC,Male,25
6745-JEFZB,Male,26
5020-ZSTTY,Female,27
9880-TDQAC,Female,28
8705-WZCYL,Male,29
7102-JJVTX,Female,30
8626-PTQGE,Male,31
4983-CLMLV,Female,32
5701-YVSVF,Female,33
5804-LEPIM,Female,34
5697-GOMBF,Female,20
2739-CACDQ,Female,21
9385-EHGDO,Female,22
9498-FIMXL,Female,23
2379-GYFLQ,Male,24
0122-OAHPZ,Female,25
2868-SNELZ,Female,26
4322-RCYMT,Male,27
6680-NENYN,Female,28
2088-IEBAU,Female,29
7982-VCELR,Female,30
1343-EHPYB,Male,31
6035-BXTTY,Female,32
6885-PKOAM,Female,33
7520-HQWJU,Female,34
9639-BUJXT,Male,35
5924-SNGKP,Female,36
0021-IKXGC,Female,37
2034-GDRCN,Female,38
8966-SNIZF,Female,39
6243-OZGFH,Female,40
4654-DLAMQ,Female,41
0513-RBGPE,Male,42
5160-UXJED,Male,43
4115-NZRKS,Female,44
0219-YTZUE,Male,45
0623-IIHUG,Female,46
4572-DVCGN,Female,47
3351-NGXYI,Female,48
8984-EYLLL,Male,49
9057-MSWCO,Male,50
9833-TGFHX,Male,51
9294-TDIPC,Male,52
5229-DTFYB,Female,53
0104-PPXDV,Male,20
5176-LMJXE,Female,20
3583-KRKMD,Male,20
1010-DIAUQ,Male,20
9069-LGEUL,Male,20
7302-ZHMHP,Female,20
9571-EDEBV,Male,20
3520-FJGCV,Male,20
6563-VRERX,Male,21
0259-GBZSH,Male,22
6122-EFVKN,Male,23
2805-EDJPQ,Female,24
6862-CQUMB,Male,25
7156-MXBJE,Female,26
6158-HDPXZ,Male,27
9601-BRXPO,Female,28
2863-IMQDR,Female,29
5686-CMAWK,Male,30
5651-CRHKQ,Female,31
6905-NIQIN,Male,32
8204-YJCLA,Male,33
5167-ZFFMM,Male,34
6583-SZVGP,Male,20
4895-TMWIR,Male,21
0533-BNWKF,Female,22
1708-PBBOA,Female,23
8782-LKFPK,Male,24
5522-JBWMO,Male,25
3597-MVHJT,Female,26
9774-NRNAU,Male,27
0224-RLWWD,Female,28
9967-ATRFS,Female,29
3951-NJCVI,Female,30
2977-CEBSX,Female,31
0177-PXBAT,Male,32
6599-CEBNN,Female,33
2519-ERQOJ,Male,34
5876-QMYLD,Female,20
2277-AXSDC,Female,20
9442-JTWDL,Female,20
0979-PHULV,Male,20
3067-SVMTC,Female,20
5495-GPSRW,Male,20
7606-BPHHN,Male,21
4742-DRORA,Male,22
0111-KLBQG,Male,23
4800-VHZKI,Female,34
7989-CHGTL,Male,56
0334-GDDSO,Male,24
4163-NCJAK,Female,25
5233-AOZUF,Female,26
5973-EJGDP,Male,27
1996-DBMUS,Female,28
7916-VCCPB,Female,29
4686-GEFRM,Male,30
5249-QYHEX,Female,31
0578-SKVMF,Female,32
5564-NEMQO,Female,33
2233-FAGXV,Female,34
5605-IYGFG,Female,35
7663-ZTEGJ,Male,36
3935-TBRZZ,Male,37
8111-BKVDS,Female,38
2055-SIFSS,Female,39
2806-MLNTI,Male,40
8734-DKSTZ,Female,41
4360-PNRQB,Male,42
6152-ONASV,Female,43
9063-ZGTUY,Female,44
7781-HVGMK,Female,43
2181-UAESM,Male,45
2957-LOLHO,Male,44
6048-NJXHX,Male,45
2320-SLKMB,Female,44
4980-URKXC,Male,33
4376-KFVRS,Male,22
5886-VLQVU,Male,22
3577-AMVUX,Male,23
0771-WLCLA,Female,24
5628-RKIFK,Female,25
0206-TBWLC,Female,23
2937-FTHUR,Female,26
1910-FMXJM,Female,20
7752-XUSCI,Female,21
4110-PFEUZ,Female,22
0732-OCQOC,Female,23
5168-MSWXT,Male,24
1090-ESELR,Male,25
8592-PLTMQ,Female,26
5760-WRAHC,Female,27
8847-GEOOQ,Male,28
0256-LTHVJ,Female,29
4785-FCIFB,Female,30
8313-NDOIA,Female,20
5149-CUZUJ,Male,21
0942-KOWSM,Female,22
4237-CLSMM,Male,23
1452-VOQCH,Male,23
4719-UMSIY,Male,22
6614-VBEGU,Female,22
0880-TKATG,Male,20
3811-VBYBZ,Male,21
1480-BKXGA,Male,22
2996-XAUVF,Male,23
9076-AXYIK,Male,24
5968-XQIVE,Male,25
8896-RAZCR,Female,26
4640-UHDOS,Female,27
4933-IKULF,Female,28
3583-EKAPL,Male,29
1304-BCCFO,Male,30
4104-PVRPS,Male,31
9399-APLBT,Female,32
2359-KMGLI,Male,33
3780-DDGSE,Male,34
4431-EDMIQ,Female,35
0306-JAELE,Male,36
6227-HWPWX,Female,37
0486-LGCCH,Male,38
0447-BEMNG,Female,20
4612-SSVHJ,Female,21
5168-MQQCA,Female,22
5949-XIKAE,Female,23
7971-HLVXI,Male,24
9094-AZPHK,Female,25
3649-JPUGY,Male,26
4472-LVYGI,Female,27
8372-JUXUI,Male,28
3552-CTCYF,Male,29
6778-YSNIH,Female,30
0388-EOPEX,Female,31
5756-OZRIO,Male,32
6579-JPICP,Male,33
8205-OTCHB,Male,34
4134-BSXLX,Male,35
0505-SPOOW,Female,36
6235-VDHOM,Female,37
7783-YKGDV,Female,38
4374-YMUSQ,Male,39
4513-CXYIX,Female,40
3957-HHLMR,Female,41
7803-XOCCZ,Female,20
5736-YEJAX,Male,21
5609-CEBID,Female,22
8981-FJGLA,Male,23
7218-HKQFK,Male,24
4636-QRJKY,Female,25
1135-LMECX,Female,26
4332-MUOEZ,Male,27
8535-SFUTN,Male,28
5956-VKDTT,Female,29
8677-HDZEE,Female,30
2475-MROZF,Male,31
9412-GHEEC,Male,32
3482-ABPKK,Female,33
6705-LXORM,Female,34
0257-ZESQC,Female,35
7531-GQHME,Male,36
5174-ITUMV,Male,37
4109-CYRBD,Male,20
0913-XWSCN,Male,20
6825-UYPFK,Female,20
8397-MVTAZ,Male,20
0750-EBAIU,Male,20
8606-CIQUL,Male,20
3571-DPYUH,Male,20
7601-GNDYK,Male,20
0356-OBMAC,Female,20
8067-NIOYM,Female,21
1403-GYAFU,Male,22
4234-XTNEA,Male,23
1297-VQDRP,Male,24
9282-IZGQK,Female,25
5348-CAGXB,Male,26
0621-HJWXJ,Female,27
5844-QVTAT,Female,28
8905-IAZPF,Female,29
5394-MEITZ,Female,30
6859-QNXIQ,Female,31
2782-LFZVW,Female,32
2866-IKBTM,Female,33
1342-JPNKI,Male,34
2817-NTQDO,Male,35
7129-AZJDE,Male,36
6986-IJDHX,Male,37
2560-PPCHE,Female,38
4676-MQUEA,Male,39
8138-EALND,Male,40
3580-HYCSP,Male,41
1352-HNSAW,Female,42
2075-PUEPR,Male,43
1982-FEBTD,Female,44
5301-GAUUY,Male,45
5791-KAJFD,Female,20
2654-VBVPB,Female,21
1154-HYWWO,Male,22
2501-XWWTZ,Male,23
3716-UVSPD,Male,24
6815-ABQFQ,Male,25
7343-EOBEU,Male,26
3701-SFMUH,Male,27
6103-LIANB,Male,28
7319-VENRZ,Male,29
5846-NEQVZ,Male,30
6967-QIQRV,Male,31
5781-RFZRP,Male,32
0939-YAPAF,Female,33
0308-IVGOK,Female,34
7293-LSCDV,Female,35
7025-WCBNE,Male,36
5756-JYOJT,Female,37
4710-FDUIZ,Male,38
6030-REHUX,Female,39
9548-LIGTA,Male,40
5150-LJNSR,Male,41
8270-RKSAP,Male,42
6522-YRBXD,Male,43
2640-LYMOV,Male,20
1218-VKFPE,Female,21
3627-FHKBK,Female,22
2865-TCHJW,Female,23
1423-BMPBQ,Female,24
2393-DIVAI,Female,25
5192-EBGOV,Female,26
4568-KNYWR,Male,27
8752-IMQOS,Male,28
0742-LAFQK,Male,29
0795-LAFGP,Male,30
0619-OLYUR,Male,31
5512-IDZEI,Male,32
0459-SPZHJ,Male,33
0215-BQKGS,Male,34
9244-ZVAPM,Male,35
0719-SYFRB,Female,36
8208-EUMTE,Male,37
5172-MIGPM,Male,38
1710-RCXUS,Male,39
0374-FIUCA,Male,40
5839-SUYVZ,Male,41
5173-ZXXXL,Male,42
1096-ADRUX,Female,20
2001-MCUUW,Male,21
2731-GJRDG,Female,22
4723-BEGSG,Male,23
6516-NKQBO,Male,24
8672-OAUPW,Male,25
8207-DMRVL,Male,26
3419-SNJJD,Female,27
6543-CPZMK,Male,28
4765-OXPPD,Female,29
2804-ETQDK,Male,30
6689-VRRTK,Female,31
7138-GIRSH,Male,32
9396-ZSFLL,Female,33
6464-KEXXH,Male,34
7134-MJPDY,Female,35
5240-CAOYT,Female,20
4059-IIEBK,Female,21
4881-JVQOD,Male,22
0516-UXRMT,Female,23
4851-BQDNX,Male,24
5148-HKFIR,Female,25
1009-IRMNA,Female,26
3003-CMDUU,Female,27
5016-IBERQ,Male,28
6797-UCJHZ,Female,29
2469-DTSGX,Female,30
4554-YGZIH,Male,31
5099-BAILX,Male,32
9931-KGHOA,Female,33
1775-KWJKQ,Male,34
7665-VIGUD,Male,35
9411-TPQQV,Female,36
7207-RMRDB,Female,37
7954-MLBUN,Male,38
2077-DDHJK,Female,39
4913-EHYUI,Male,40
0195-IESCP,Male,41
9574-BOSMD,Male,20
4580-TMHJU,Female,20
0970-ETWGE,Male,21
4908-XAXAY,Female,22
8404-VLQFB,Female,23
1626-ERCMM,Male,24
0887-HJGAR,Male,25
2391-IPLOP,Male,26
5644-PDMZC,Female,27
3509-GWQGF,Male,28
9576-ANLXO,Female,29
2024-BASKD,Female,30
5845-BZZIB,Male,31
1140-UKVZG,Female,32
4160-AMJTL,Female,33
5183-SNMJQ,Male,34
8100-PNJMH,Male,35
7838-LAZFO,Male,36
4464-JCOLN,Male,37
2085-JVGAD,Male,38
5650-VDUDS,Female,39
8095-WANWK,Female,40
3030-ZKIWL,Male,41
9565-FLVCG,Male,42
8755-OGKNA,Female,43
2800-VEQXM,Female,44
7538-GWHML,Female,45
5533-RJFTJ,Male,46
3859-CVCET,Female,47
0214-JHPFW,Female,48
5642-MHDQT,Female,49
3088-FVYWK,Male,50
3276-HDUEG,Female,51
9092-GDZKO,Male,52
0823-HSCDJ,Male,53
3729-OWRVL,Male,54
2324-AALNO,Female,55
0822-GAVAP,Female,56
5760-IFJOZ,Male,57
2826-UWHIS,Male,58
1448-PWKYE,Male,59
7501-IWUNG,Female,60
4957-TREIR,Male,61
7251-LJBQN,Female,62
8040-MNRTF,Female,63
1536-HBSWP,Female,20
5313-FPXWG,Male,21
0067-DKWBL,Male,22
0946-FKYTX,Male,23
5076-YVXCM,Male,24
8262-COGGB,Male,25
6663-JOCQO,Male,26
9620-QJREV,Male,27
2276-YDAVZ,Female,28
2682-KEVRP,Female,29
2480-JZOSN,Female,30
0078-XZMHT,Male,31
5896-NPFWW,Male,32
9978-HYCIN,Male,33
8338-QIUNR,Male,34
1525-LNLOJ,Male,35
9450-TRJUU,Male,36
1766-GKNMI,Male,37
6942-LBFDP,Female,38
1456-TWCGB,Male,39
7133-VBDCG,Female,40
7596-ZYWBB,Female,41
8329-UTMVM,Male,42
3014-WJKSM,Male,43
3347-YJZZE,Male,44
1029-QFBEN,Male,45
7929-DMBCV,Female,46
9661-JALZV,Female,47
5433-KYGHE,Female,48
4312-KFRXN,Male,20
5575-TPIZQ,Male,21
0114-IGABW,Female,22
9944-AEXBM,Male,23
1853-ARAAQ,Female,24
6952-OMNWB,Male,25
4697-LUPSU,Male,26
8434-VGEQQ,Male,27
4952-YSOGZ,Female,28
1589-AGTLK,Male,29
5244-IRFIH,Male,30
6549-YMFAW,Male,31
4950-HKQTE,Female,32
6786-OBWQR,Female,33
2684-EIWEO,Female,34
2753-JMMCV,Male,35
6439-GTPCA,Female,36
6621-YOBKI,Male,37
1216-JWVUX,Male,38
7564-GHCVB,Female,39
1173-NOEYG,Female,40
7595-EHCDL,Male,41
6647-ZEDXT,Female,42
2521-NPUZR,Male,20
1307-TVUFB,Male,21
7503-MIOGA,Female,22
4381-MHQDC,Female,23
6923-JHPMP,Female,24
5138-WVKYJ,Male,25
4018-PPNDW,Female,26
1635-FJFCC,Female,27
2499-AJYUA,Female,28
6919-ELBGL,Male,29
3966-HRMZA,Female,30
6425-JWTDV,Male,31
8405-IGQFX,Female,32
8224-IVVPA,Female,33
9477-LGWQI,Male,34
1410-RSCMR,Male,35
3115-CZMZD,Male,36
0139-IVFJG,Female,37
6683-VLCTZ,Male,38
5730-DBDSI,Male,39
0030-FNXPP,Female,40
2189-WWOEW,Female,41
5684-FJVYR,Female,42
4013-GUXND,Male,43
1894-IGFSG,Female,44
7379-POKDZ,Male,45
1266-NZYUI,Female,46
7969-FFOWG,Male,47
4718-DHSMV,Female,48
5175-WLYXL,Male,49
7817-OMJNA,Male,50
8728-SKJLR,Male,51
3137-NYQQI,Male,52
7706-DZNKK,Male,53
0236-HFWSV,Male,54
3900-AQPHZ,Female,55
5842-POCOP,Female,56
2037-XJFUP,Male,57
8823-RLPWL,Female,58
9505-SQFSW,Female,59
7314-OXENN,Male,60
3758-CKOQL,Female,61
0322-CHQRU,Male,20
5676-CFLYY,Male,21
7521-AFHAB,Female,22
0285-INHLN,Male,23
4678-DVQEO,Female,24
5125-CNDSP,Male,25
0691-IFBQW,Female,26
4992-LTJNE,Male,27
2202-OUTMO,Female,28
0810-BDHAW,Female,29
0229-LFJAF,Male,30
7131-ZQZNK,Female,31
3442-ZHHCC,Male,32
5726-CVNYA,Female,33
9871-ELEYA,Female,34
4257-GAESD,Female,35
5173-WXOQV,Male,36
2040-OBMLJ,Male,37
6286-ZHAOK,Female,38
3807-XHCJH,Female,39
3009-JWMPU,Male,40
5671-RQRLP,Female,41
1450-GALXR,Female,42
8859-AXJZP,Male,43
3174-AKMAS,Female,20
3138-BKYAV,Male,21
9926-PJHDQ,Female,22
7382-DFJTU,Male,23
2798-NYLMZ,Male,24
4289-DTDKW,Male,25
1820-TQVEV,Male,26
2239-JALAW,Male,27
4853-RULSV,Male,28
8098-TDCBU,Female,29
3551-GAEGL,Male,30
4785-NKHCX,Male,31
3196-NVXLZ,Female,32
6275-YDUVO,Female,33
0036-IHMOT,Female,34
0115-TFERT,Male,35
4178-EGMON,Male,36
4220-TINQT,Female,37
5318-YKDPV,Male,38
7975-TZMLR,Male,39
0295-QVKPB,Male,40
4335-BSMJS,Female,41
2311-QYMUQ,Female,20
3643-AHCFP,Male,21
9146-JRIOX,Female,22
3104-OWCGK,Male,23
5337-IIWKZ,Male,24
9101-BWFSS,Female,25
9650-VBUOG,Male,26
3487-EARAT,Female,27
2672-TGEFF,Female,28
9231-ZJYAM,Female,29
4250-WAROZ,Male,30
8184-WMOFI,Male,31
6982-SSHFK,Male,32
6092-QZVPP,Male,33
4625-LAMOB,Male,34
0727-BMPLR,Female,20
0392-BZIUW,Female,21
1038-ZAGBI,Female,22
6549-NNDYT,Female,23
3027-ZTDHO,Male,24
0422-OHQHQ,Female,25
6916-HIJSE,Female,26
2316-ESMLS,Female,27
9778-OGKQZ,Male,28
7408-OFWXJ,Female,29
6007-TCTST,Female,30
2252-NKNSI,Male,31
8713-IGZSO,Male,32
7905-TVXTA,Female,33
7695-PKLCZ,Female,34
2382-BCKQJ,Female,35
8374-UULRV,Male,36
2207-NHRJK,Male,37
3224-DFQNQ,Female,38
5275-PMFUT,Male,39
4795-UXVCJ,Male,40
9777-IQHWP,Male,20
0947-MUGVO,Male,21
9944-HKVVB,Female,22
4124-MMETB,Male,23
3671-SHRSP,Male,24
0979-MOZQI,Male,25
2732-ISEZX,Female,26
3313-QKNKB,Male,27
0323-XWWTN,Male,28
1937-OTUKY,Female,29
1573-LGXBA,Male,30
1764-VUUMT,Male,31
5073-WXOYN,Female,32
4713-ZBURT,Male,33
3050-GBUSH,Female,34
0207-MDKNV,Female,35
7876-AEHIG,Female,20
7945-HLKEA,Female,21
9342-VNIMQ,Male,22
9851-KIELU,Male,23
3523-BRGUW,Male,24
3908-BLSYF,Female,25
3199-NPKCN,Female,26
5170-PTRKA,Female,27
4661-NJEUX,Male,28
2123-AGEEN,Female,29
1258-YMZNM,Female,30
0048-LUMLS,Male,31
7549-MYGPK,Female,32
5898-IGSLP,Male,33
3804-RVTGV,Male,20
6259-WJQLC,Male,21
9227-LUNBG,Female,22
7997-EASSD,Female,23
0730-KOAVE,Male,24
8975-SKGRX,Male,25
0678-RLHVP,Female,26
4315-MURBD,Female,27
2267-FPIMA,Male,28
1051-GEJLJ,Female,29
9734-YWGEX,Female,30
2719-BDAQO,Male,31
5285-MVEHD,Female,32
0379-DJQHR,Male,33
0781-LKXBR,Male,34
5543-QDCRY,Male,35
0297-RBCSG,Male,36
4694-PHWFW,Female,20
0835-JKADZ,Female,21
1907-UBQFC,Male,22
7508-SMHXL,Female,23
3865-YIOTT,Male,24
5993-BQHEA,Male,25
6024-RUGGH,Male,26
6513-EECDB,Male,27
3956-CJUST,Female,28
4079-WWQQQ,Male,29
6103-BOCOU,Female,30
5149-TGWDZ,Female,31
7471-WNSUF,Male,32
8942-DBMHZ,Male,33
4301-VVZKA,Male,34
9199-PWQVC,Female,20
4824-GUCBY,Female,20
5393-HJZSM,Female,20
7074-IEVOJ,Female,20
9625-QSTYE,Female,20
0862-PRCBS,Female,20
8812-ZRHFP,Female,20
5146-CBVOE,Female,20
0454-OKRCT,Male,20
5787-KXGIY,Male,20
4750-ZRXIU,Female,20
4198-VFOEA,Female,20
6630-UJZMY,Female,21
5709-LVOEQ,Female,22
6400-BWQKW,Female,23
2692-AQCPF,Female,24
0347-UBKUZ,Female,25
0835-DUUIQ,Female,26
0811-GSDTP,Female,27
7567-ECMCM,Male,28
6115-ZTBFQ,Female,29
6353-BRMMA,Female,30
6680-WKXRZ,Female,31
6231-WFGFH,Male,32
9904-EHEVJ,Female,20
7028-DVOIQ,Male,21
6169-PPETC,Male,22
4208-UFFGW,Male,23
8584-KMVXD,Female,24
8467-WYNSR,Male,25
0851-DFJKB,Female,26
5382-SOYZL,Male,27
9448-REEVD,Male,28
3261-CQXOL,Female,29
8388-FYNPZ,Male,30
4002-BQWPQ,Male,31
5651-YLPRD,Female,20
2826-DXLQO,Male,21
4378-BZYFP,Male,22
9489-UTFKA,Male,23
4849-PYRLQ,Female,24
9117-SHLZX,Male,25
9889-TMAHG,Male,26
4541-RMRLG,Male,27
7764-BDPEE,Male,28
3429-IFLEM,Female,29
3158-MOERK,Female,30
7294-TMAOP,Female,31
5002-GCQFH,Male,32
0556-FJEGU,Male,33
8919-FYFQZ,Male,20
0604-THJFP,Female,20
2834-JRTUA,Male,20
5875-YPQFJ,Male,20
5879-SESNB,Female,20
6646-QVXLR,Male,20
6461-PPAXN,Female,20
3318-ISQFQ,Female,21
1106-HRLKZ,Male,22
2483-XSSMZ,Female,23
8603-IJWDN,Male,24
8165-ZJRNM,Female,25
9369-XFEHK,Female,26
2604-XVDAM,Female,27
3717-OFRTN,Male,28
9046-JBFWA,Male,29
3280-NMUVX,Male,30
1206-EHBDD,Female,20
8361-LBRDI,Female,20
4883-KCPZJ,Female,20
